Name,SailNum,Cty,FinishPlace,Points
Jean Baptiste BERNAZ,4,FRA,1,1
Wannes VAN LAER,20,BEL,2,2
Filip JURIŠIC,17,CRO,3,3
Maxim NIKOLAEV,55,RUS,4,4
Luke ELLIOTT,28,AUS,5,5
Karl-Martin RAMMO,26,EST,6,6
Enrique ARATHOON,30,ESA,7,7
Nick THOMPSON,21,GBR,8,8
Mitchell KENNEDY,37,AUS,9,9
Sam MEECH,3,NZL,10,10
Francisco GUARAGNA RIGONAT,18,ARG,11,11
Gianmarco PLANCHESTAINER,41,ITA,12,12
Sam WHALEY,66,GBR,13,13
Elliot HANSON,9,GBR,14,14
Jeemin HA,48,KOR,15,15
Santiago SAMPAIO,68,POR,16,16
Julio ALSOGARAY,89,ARG,17,17
Berkay ABAY,78,TUR,18,18
Liam GLYNN,73,IRL,19,19
Finn LYNCH,14,IRL,20,20
Gustavo CORREA NASCIMENTO,113,BRA,21,21
Robert DAVIS,27,CAN,22,22
Nicolo VILLA,53,ITA,23,23
Daniil KRUTSKIKH,56,RUS,24,24
Dan SELF,81,AUS,25,25
Richard MAHER,76,AUS,26,26
Luke DEEGAN,98,NZL,27,27
James STEWART,101,AUS,28,28
Nicolas ROLAZ,83,SUI,29,29
Jakub RODZIEWICZ,49,POL,30,30
Yigit Yalcin CITAK,109,TUR,31,31
Kazumasa SEGAWA,57,JPN,32,32
Giacomo MUSONE,72,ITA,33,33
Campbell PATTON,115,BER,34,34
Thad LETTSOME,103,IVB,35,35
Martin ARUJA,102,EST,36,36
Andrew ROBINSON,126,AUS,37,37
Ao HIGUCHI,107,JPN,38,38
Georg Philip BUNK LAURITSEN,95,DEN,39,39
Ken FUJIMOTO,118,JPN,40,40
Stephen GUNTHER,122,AUS,-,43
