Pos,Nation,Sail Number,Crew,Race Points
Pos,Nation,Sail Number,Crew,Race Points
1,NED,NED 212968,Yuri Hummel,1
2,ESP,ESP 211440,Joaquin Blanco,2
3,GBR,GBR 214009,Lorenzo Brando Chiavarini,3
4,USA,USA 210780,Christopher Barnard,4
5,BEL,BEL 215353,Wannes Van Laer,5
6,SUI,SUI 210211,Eliot Merceron,6
7,FRA,FRA 211863,Maxime Mazard,7
8,ISR,ISR 211955,Sagie Glantz,8
9,GRE,GRE 212529,Dimitris Papadimitriou,9
10,SWE,SWE 211567,Wilhelm Kark,10
11,GER,GER 211432,Nik Aaron Willim,11
12,AUS,AUS 199012,Tom Burton,12
13,GBR,GBR 215379,Jack Cookson,13
14,TTO,TTO 184116,Andrew Lewis,14
15,USA,USA 157851,Leo Boucher,15
16,CHN,CHN 212277,Yulong Qiu,16
17,GUA,GUA 182112,Gabriel Sanz Agero,17
18,MEX,MEX 213173,Yanic Gentry,18
19,POL,POL 215006,Dawid Kania,19
20,NED,NED 215438,Niels Broekhuizen,20
21,POL,POL 192583,Tadeusz Kubiak,21
22,BEL,BEL 207173,William De Smet,22
23,HKG,HKG 171979,Hong Kong,23
24,DEN,DEN 206979,Georg Philip Bunk Lauritsen,24
25,GBR,GBR 214490,Daniel Whiteley,25
26,FIN,FIN 215016,Fredrik Westman,26
27,CAN,CAN 209376,Luke Ruitenberg,27
28,COL,COL 208822,Andrey Quintero,28
29,SUI,SUI 215485,Nicolas Rolaz,29
30,USA,USA 199796,Malcolm Lamphere,30
31,CAN,CAN 209616,Forrest Wachholz,31
32,CAY,CAY 206160,Jesse Jackson,32
33,CHN,CHN 211127,Zili Wang,33
34,BAR,BAR 160107,Scott Gittens,34
35,MEX,MEX 200591,Adrian Elizondo Garza,35
52,EST,EST 203724,Karl-Martin Rammo,52BFD
52,NZL,NZL 215081,Thomas Saunders,52BFD
52,ESA,ESA 180192,Enrique Jose Arathoon Pacas,52BFD
52,PER,PER 206115,Stefano Peschiera,52BFD
52,GER,GER 212767,Philipp Buhl,52BFD
52,AUS,AUS 214418,Finn Alexander,52BFD
52,GBR,GBR 212791,Michael Beckett,52BFD
52,USA,USA 209071,Henry Marshall,52BFD
52,POL,POL 214117,Jakub Rodziewicz,52BFD
52,TPE,TPE 200315,Gerald Williams,52BFD
52,POR,POR 212213,Santiago Sampaio,52BFD
52,GBR,GBR 213719,Sam Whaley,52BFD
52,USA,USA 210459,Scott Rasmussen,52BFD
52,USA,USA 199338,Marshall McCann,52BFD
52,USA,USA 171880,Steven Schwartz,52DNC
