Name,SailNum,Cty,FinishPlace,Points
Philipp BUHL,15,GER,1,1
Matt WEARN,1,AUS,2,2
Rutger VAN SCHAARDENBURG,112,NED,3,3
Maxim NIKOLAEV,55,RUS,4,4
Christopher BARNARD,29,USA,5,5
Pavlos KONTIDES,5,CYP,6,6
Hermann TOMASGAARD,6,NOR,7,7
Benjamin VADNAI,31,HUN,8,8
Mitchell KENNEDY,37,AUS,9,9
Jonatan VADNAI,23,HUN,10,10
Karl-Martin RAMMO,26,EST,11,11
Robert SCHEIDT,63,BRA,12,12
Wannes VAN LAER,20,BEL,13,13
Finn LYNCH,14,IRL,14,14
Enrique ARATHOON,30,ESA,15,15
Juan Pablo CARDOZO,108,ARG,16,16
Tomas PELLEJERO,80,ARG,17,17
William DE SMET,34,BEL,18,18
Alexandre BOITE,70,FRA,19,19
Khairulnizam MOHD AFENDY,50,MAS,20,20
Daniil KRUTSKIKH,56,RUS,21,21
Dan SELF,81,AUS,22,22
Christian GULDBERG ROST,59,DEN,23,23
Marnix BOS,87,NED,24,24
Zac LITTLEWOOD,111,AUS,25,25
Upamanyu DUTTA,105,IND,26,26
Kazumasa SEGAWA,57,JPN,27,27
Arthit Mikhail ROMANYK,99,THA,28,28
Luke DEEGAN,98,NZL,29,29
Nicolo VILLA,53,ITA,30,30
Sam WHALEY,66,GBR,31,31
Georg Philip BUNK LAURITSEN,95,DEN,32,32
Liam BRUCE,65,CAN,33,33
Jacob FARREN-PRICE,96,GBR,34,34
James STEWART,101,AUS,35,35
Stijn PAARDEKOOPER,94,NED,37,36
Alexandre KOWALSKI,114,FRA,38,37
Eroni LEILUA,116,SAM,39,38
Ken FUJIMOTO,118,JPN,40,39
Pietari AIRAKORPI,124,FIN,41,40
Thomas MCEVOY,125,AUS,42,41
Guillermo FLORES MARTÍN,88,ESP,36,43
