Pos,Nation,Sail Number,Crew,Race Points
Pos,Nation,Sail Number,Crew,Race Points
2,NZL,NZL 216175,Sam Meech,2
4,USA,USA 206051,Charlie Buckingham,4
6,AUS,AUS 199012,Tom Burton,6
8,GBR,GBR 214009,Lorenzo Brando Chiavarini,8
10,FRA,FRA 213932,Jean Baptiste Bernaz,10
12,FIN,FIN 214111,Kaarle Tapper,12
14,BEL,BEL 207173,William De Smet,14
16,GUA,GUA 211981,Juan Ignacio Maegli Aguero,16
18,IRL,IRL 210254,Finn Lynch,18
20,NOR,NOR 201111,Hermann Tomasgaard,20
