Pos,Sail, Skipper, Yacht Club, Results, Total Points
1,210539, Ford McCann, TCYC, [5],2,1,1,3,2,1,2,12   
2,180521, Marek Zaleski, Noroton YC, 4,3,3,3,1,1,[5],1,16   
3,199796, Malcolm Lamphere, LGYC / CYC, 3,1,4,2,[5],4,3,5,22   
4,208381, Cameron Feves, Cabrillo Beach Yacht Club, 1,[10],7,6,2,6,4,4,30   
5,208411, Paul Didham, Mission Bay Yacht Club, 2,[11],5,5,6,3,2,8,31   
6,199338, Marshall McCann, TCYC, 11,5,2,4,[14/DNC],14/DNC,6,3,45   
7,200191, Matthew Long, SBYC, 7,[8],8,7,7,5,7,6,47   
8,167136, Emilio Castelli, Richmond YC, 6,9,9,[14/DNC],4,10,9,7,54   
9,183898, Charlie Buckingham, NHYC, 10,7,6,8,10,8,[11],11,60   
10,200589, Caleb Yoslov, San Francisco Yacht Club, 9,6,10,10,8,[11],10,9,62   
11,190480, Lukas kraak, Cabrillo beach yacht club,8,4,11,[12],12,9,12,12,68   
12,162390, Hendrik Reidel, Tahoe YC / St.FYC, [13],13,13,9,9,7,8,13,72   
13,206586, Drea Keswater, ABYC/KHYC, 12,12,12,11,11,12,[13],10,80   
