PG Laser Std - Men's One person Dinghy*,,,,,Day 1 Monday 15 July,,,,,,Day 2 Tuesday 16 July,,,,,,Day 3 Wednesday 17 July
,,,Place,,Score,Place Score,,Place,Score,Place Score,,Place Score,,Place,Score,Place Score,
,,,,Race,Race,Race,Race,Race,Race,Race,Race,Race,Race,Race,Race,Race,Race
Draw,First Name,Surname,Country,1,1,2,2,3,3,4,4,5,5,6,6,7,7
10 ,Maxime,Mazard,NCL,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5 ,Etienne,Le pen,NCL,1,1,1,1,1,1,1,1,1,1,1,1,1,1
9 ,Eroni,Leilua,SAM,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2 ,Will,Sargent,AUS,2,2,2,2,2,2,2,2,2,2,2,2,2,2
13 ,Teariki,Numa,PNG,4,4,3,3,3,3,3,3,4,4,4,4,3,3
4 ,Amanu Jules,Simpson,FIJ,3,3,3,3,3,3,6,6,3,3,3,3,3,3
11 ,Teakuao,Framhein,COK,3,3,4,4,5,5,4,4,3,3,3,3,4,4
7 ,Nicky,Touli,SAM,5,5,DSQ,9,6,6,3,3,4,4,6,6,4,4
1 ,Pierre,Danielot,TAH,4,4,4,4,4,4,4,4,5,5,4,4,6,6
6 ,Nicolas,Gayet,TAH,6,6,5,5,5,5,5,5,6,6,5,5,5,5
12 ,Villiame,Raului,FIJ,5,5,RET,9,4,4,DSQ,9,RET,9,5,5,5,5
8 ,Carneal,Lili'o-Satele ASA,,6,6,5,5,6,6,5,5,5,5,8,8,6,6
3 ,Jed,Kuper,SOL,7,7,6,6,7,7,7,7,7,7,7,7,7,7
14 ,Doug,Maetia,SOL,RET,9,DNS,9,DNC,9,6,6,6,6,6,6,7,7
15 ,Carlos Leonel Sanchez,,ASA,DNS,9,DNF,9,7,7,7,7,7,7,7,7,8,8
Day 3 Wednesday 17 July,,,,,,,Day 4 Thursday 18 July 2019,,,,,,Day 5,
Place,Score,Place Score,,Place,Score,Place,Score,Place,Score,,Series,,,
Race,Race,Race,Race,Race,Race,Race,Race,Race,Race,,Score Day Place,,Day 5,Day 5
8,8,9,9,10,10,11,11,12,12,Discard,4,Day 4,Fleet,Boat
1,1,1,1,1,1,1,1,1,1,1,11,1,Yellow,10
1,1,1,1,DSQ,9,1,1,1,1,9,11,1,Blue,10
2,2,2,2,1,1,2,2,2,2,2,21,3,Blue,11
2,2,2,2,2,2,2,2,2,2,2,22,4,Yellow,11
3,3,3,3,3,3,4,4,3,3,4,36,5,Yellow,8
3,3,3,3,2,2,6,6,6,6,6,38,6,Blue,8
4,4,4,4,4,4,3,3,4,4,5,40,7,Blue,1
4,4,4,4,4,4,5,5,3,3,9,48,8,Yellow,1
6,6,6,6,5,5,4,4,4,4,6,50,9,Yellow,6
5,5,5,5,5,5,5,5,5,5,6,56,10,Blue,6
5,5,5,5,3,3,3,3,5,5,9,58,11,Blue,9
6,6,6,6,7,7,7,7,6,6,8,65,12,Yellow,9
7,7,7,7,6,6,7,7,7,7,7,75,13,Yellow,12
7,7,7,7,6,6,6,6,RET,9,9,78,14,Blue,12
8,8,DNS,9,8,8,8,8,7,7,9,85,15,Blue,7
