Name,SailNum,Cty,FinishPlace,Points
Philipp BUHL,15,GER,1,1
Rutger VAN SCHAARDENBURG,112,NED,2,2
Kaarle TAPPER,33,FIN,3,3
Charlie BUCKINGHAM,10,USA,4,4
Sam MEECH,3,NZL,5,5
Luke ELLIOTT,28,AUS,6,6
Jean Baptiste BERNAZ,4,FRA,7,7
Elliot HANSON,9,GBR,8,8
Sergei KOMISSAROV,22,RUS,9,9
Robert DAVIS,27,CAN,10,10
Robert SCHEIDT,63,BRA,11,11
Emil BENGTSON,64,SWE,12,12
Lorenzo Brando CHIAVARINI,16,GBR,13,13
Nick THOMPSON,21,GBR,14,14
Marco GALLO,40,ITA,15,15
Alexandre BOITE,70,FRA,16,16
Ethan MCAULLAY,106,AUS,17,17
Julio ALSOGARAY,89,ARG,18,18
William DE SMET,34,BEL,19,19
Alp Rona RODOPMAN,45,TUR,20,20
Josh ARMIT,77,NZL,21,21
Yoshihiro SUZUKI,82,JPN,22,22
Richard MAHER,76,AUS,23,23
Agustin VIDAL INCATASCIATO,51,ARG,24,24
James STEWART,101,AUS,25,25
Juan BISIO,58,ARG,26,26
Georg Philip BUNK LAURITSEN,95,DEN,27,27
Fillah KARIM,46,CAN,28,28
Ryan LO,39,SGP,29,29
Samuel KING,100,AUS,30,30
Nicolas ROLAZ,83,SUI,31,31
Wilhelm KARK,52,SWE,32,32
Matti MURU,69,CAN,33,33
Gustavo CORREA NASCIMENTO,113,BRA,34,34
Guillermo FLORES MARTÍN,88,ESP,35,35
Stijn PAARDEKOOPER,94,NED,36,36
Ao HIGUCHI,107,JPN,37,37
Andrew ROBINSON,126,AUS,38,38
Kazumasa SEGAWA,57,JPN,39,39
Teariki NUMA,119,PNG,40,40
Connor SHAW,120,AUS,41,41
Thomas MCEVOY,125,AUS,42,42
