Pos,Nation,Sail Number,Crew,Race Points
Pos,Nation,Sail Number,Crew,Race Points
1,BEL,BEL 207173,William De Smet,1
2,USA,USA 210780,Christopher Barnard,2
3,NED,NED 215438,Niels Broekhuizen,3
4,FRA,FRA 211863,Maxime Mazard,4
5,NOR,NOR 201111,Hermann Tomasgaard,5
6,ITA,ITA 188953,Giovanni Coccoluto,6
7,GER,GER 212767,Philipp Buhl,7
8,FIN,FIN 214111,Kaarle Tapper,8
9,AUS,AUS 199015,Matthew Wearn,9
10,SWE,SWE 215344,Jesper Stalheim,10
11,NZL,NZL 214437,George Gautrey,11
12,CAN,CAN 211542,Robert Davis,12
13,FRA,FRA 213932,Jean Baptiste Bernaz,13
14,USA,USA 206051,Charlie Buckingham,14
15,GUA,GUA 211981,Juan Ignacio Maegli Aguero,15
16,GBR,GBR 201481,Jack Wetherell,16
17,GBR,GBR 214009,Lorenzo Brando Chiavarini,17
18,GBR,GBR 209134,Elliot Hanson,18
19,POL,POL 192583,Tadeusz Kubiak,19
20,AUS,AUS 214418,Finn Alexander,20
21,TTO,TTO 184116,Andrew Lewis,21
22,IRL,IRL 210254,Finn Lynch,22
23,PER,PER 206115,Stefano Peschiera,23
24,NZL,NZL 215081,Thomas Saunders,24
25,GBR,GBR 212791,Michael Beckett,25
26,NZL,NZL 216175,Sam Meech,26
27,ESP,ESP 211710,Joel Rodriguez,27
28,ESP,ESP 211440,Joaquin Blanco,28
29,SUI,SUI 210211,Eliot Merceron,29
30,URU,URU 212833,Ignacio Rodriguez,30
31,NED,NED 212968,Yuri Hummel,31
32,EST,EST 203724,Karl-Martin Rammo,32
33,ARG,ARG 211570,Agustin Vidal Incatasciato,33
34,ISR,ISR 211955,Sagie Glantz,34
35,SWE,SWE 211567,Wilhelm Kark,35
36,ITA,ITA 214150,Gianmarco Planchestainer,36
37,CAN,CAN 212845,Fillah Karim,37
38,ESA,ESA 180192,Enrique Jose Arathoon Pacas,38
39,GBR,GBR 215379,Jack Cookson,39
40,GRE,GRE 212529,Dimitris Papadimitriou,40
41,CAN,CAN 214917,Hugh Macrae,41
42,IRL,IRL 210978,Liam Glynn,42
43,AUS,AUS 199012,Tom Burton,43
44,ITA,ITA 215111,Marco Gallo,44
45,USA,USA 209071,Henry Marshall,45
46,BEL,BEL 215353,Wannes Van Laer,46
47,CHN,CHN 212277,Yulong Qiu,47
48,TUR,TUR 207480,Alp Rona Rodopman,48
49,NZL,NZL 212259,Josh Armit,49
50,GER,GER 211432,Nik Aaron Willim,50
51,ISR,ISR 214931,Maor Ben Hrosh,51
