Name,SailNum,Cty,FinishPlace,Points
Luke ELLIOTT,28,AUS,1,1
Finn ALEXANDER,36,AUS,2,2
Thomas SAUNDERS,12,NZL,3,3
Filip JURIŠIC,17,CRO,4,4
Michael BECKETT,19,GBR,5,5
Sergei KOMISSAROV,22,RUS,6,6
Duko BOS,43,NED,7,7
George GAUTREY,25,NZL,8,8
Milivoj DUKIC,75,MNE,9,9
Clemente SEGUEL LACÁMARA,60,CHI,10,10
Robert DAVIS,27,CAN,11,11
Gianmarco PLANCHESTAINER,41,ITA,12,12
Emil BENGTSON,64,SWE,13,13
Ethan MCAULLAY,106,AUS,14,14
Kaarle TAPPER,33,FIN,15,15
Nicolas ROLAZ,83,SUI,16,16
Tadeusz KUBIAK,38,POL,17,17
Berkay ABAY,78,TUR,18,18
Santiago SAMPAIO,68,POR,19,19
Giovanni COCCOLUTO,13,ITA,20,20
Ewan MCMAHON,61,IRL,21,21
Josh ARMIT,77,NZL,22,22
Nik Aaron WILLIM,32,GER,23,23
Yigit Yalcin CITAK,109,TUR,24,24
Liam GLYNN,73,IRL,25,25
Yuichiro KITAMURA,92,JPN,26,26
Anastasios PANAGIOTIDIS,93,GRE,27,27
Francisco GUARAGNA RIGONAT,18,ARG,28,28
Gustavo CORREA NASCIMENTO,113,BRA,29,29
Luke RUITENBERG,47,CAN,30,30
Justin NORTON,67,CAN,31,31
Etienne LE PEN,62,FRA,32,32
Campbell PATTON,115,BER,34,33
Alp Rona RODOPMAN,45,TUR,35,34
Leo BOUCHER,86,USA,36,35
James JUHASZ,84,CAN,37,36
Martin ARUJA,102,EST,38,37
Andrew ROBINSON,126,AUS,39,38
William SARGENT,110,AUS,40,39
Stephen GUNTHER,122,AUS,-,43
Thad LETTSOME,103,IVB,33,43
