Name,SailNum,Cty,FinishPlace,Points
Michael BECKETT,19,GBR,1,1
Finn ALEXANDER,36,AUS,2,2
Thomas SAUNDERS,12,NZL,3,3
Maxime MAZARD,42,FRA,4,4
Giovanni COCCOLUTO,13,ITA,5,5
Matt WEARN,1,AUS,6,6
Benjamin VADNAI,31,HUN,7,7
Jesper STALHEIM,7,SWE,8,8
Duko BOS,43,NED,9,9
Francisco GUARAGNA RIGONAT,18,ARG,10,10
Hermann TOMASGAARD,6,NOR,11,11
Francisco RENNA,79,ARG,12,12
Mitchell KENNEDY,37,AUS,13,13
Jakub RODZIEWICZ,49,POL,14,14
Juan MAEGLI,24,GUA,15,15
Jeemin HA,48,KOR,16,16
Alessio SPADONI,104,ITA,17,17
George GAUTREY,25,NZL,18,18
Enrique ARATHOON,30,ESA,19,19
Yigit Yalcin CITAK,109,TUR,20,20
Maxim NIKOLAEV,55,RUS,21,21
Ewan MCMAHON,61,IRL,22,22
Tomas PELLEJERO,80,ARG,23,23
Giacomo MUSONE,72,ITA,24,24
Mark WONG,97,SGP,25,25
Sam WHALEY,66,GBR,26,26
Yuichiro KITAMURA,92,JPN,27,27
Justin NORTON,67,CAN,28,28
Campbell PATTON,115,BER,29,29
Clemente SEGUEL LACÁMARA,60,CHI,30,30
Kenji NANRI,54,JPN,31,31
Luke DEEGAN,98,NZL,32,32
Fredrik WESTMAN,91,FIN,33,33
Liam GLYNN,73,IRL,34,34
Thad LETTSOME,103,IVB,35,35
Seung KIM,123,KOR,36,36
Leo BOUCHER,86,USA,37,37
Eroni LEILUA,116,SAM,38,38
William SARGENT,110,AUS,39,39
Stephen GUNTHER,122,AUS,40,40
Nicholas BEZY,85,HKG,-,43
