Nr,Bow#,Sail Number,Unnamed: 3,Team  Boat Name,T,N,R1,R2,R3,R4,R5,R6,R7,R8,R9
40,28,ARG 211983  J.P. BISIO,Juan Pablo BISIO  delfindelmundo  Juan Pablo BISIO  delfindelmundo,ARG,235,193,8,20,(42.0),29,35,34,17,9,41.0  UFD
41,48,RUS 207809  M. NIKOLAEV,Maxim NIKOLAEV  Maxim NIKOLAEV,"RUS  CSP ""Khlebnikovo"", CSKA",249,198,16,(51.0)  UFD,18,10,46,38,23,29,18
42,39,GBR 211110  J. COOKSON,Jack COOKSON  Jack COOKSON,GBR  WPNSA,245,201,29,9,8,13,37,(44.0),40,24,41.0  UFD
43,79,USA 180521  M. ZALESKI,Marek ZALESKI  Marek ZALESKI,USA  Noroton Yacht CLub,244,204,21,26,16,26,39,(40.0),32,12,32
44,50,AUS 211543  D. SELF,Daniel SELF  Sail27  Daniel SELF  Sail27,AUS  RQYS,256,210,27,8,11,18,40,26,45,(46.0),35
45,25,JPN 211049  N. KENJI,nanri KENJI  nanri kenji  Nanri KENJI  nanri kenji,JPN,262,215,27,23,12,34,26,(47.0),29,47,17
46,101,NED 207175  F. VERBURGT,Frederik VERBURGT  LASER  Frederik VERBURGT  LASER,NED,290,241,29,18,10,25,(49.0),46,43,44,26
47,67,FRA 209786  G. MORVAN,Gaston MORVAN  Gaston MORVAN,FRA  Usam,288,241,20,12,36,18,(47.0),39,42,45,29
48,55,FRA 207567  V. CARN,Victor CARN  Victor CARN,FRA,288,245,33,35,8,23,41,37,35,(43.0),33
49,62,IRL 210978  L. GLYNN,Liam GLYNN  Liam GLYNN,IRL  Ballyholme Yacht Club,303,254,16,25,27,24,48,(49.0),49,41,24
50,84,TUR 211881  O. BILGEN,ONUR BILGEN  LOGO  Onur BILGEN  LOGO,TUR,315,264,35,26,9,22,44,48,46,(51.0)  UFD,34
51,56,FRA 207614  L. QUEROUX,QUEROUX Loïc  Loïc QUEROUX,FRA  BNIG,183,132,24,16,43,22,3,15,1,8,(51.0)  DNC
52,37,SWE 207831  M. MAGNUSSON,Marcus MAGNUSSON  RAKETEN  Marcus MAGNUSSON  RAKETEN,SWE,173,137,19,32,(36.0),36,4,1,14,27,4
53,49,FIN 207860  N. LAUKKANEN,Nooa LAUKKANEN  Nooa LAUKKANEN,FIN  NJK,178,138,(40.0),35,13,27,18,13,13,16,3
54,68,GER 207182  M. WILKEN,Max WILKEN  Max WILKEN,"GER  RSVMRöbeler Segler-Verein ""Müritz"" e. V.",196,145,28,(51.0)  UFD,45,32,2,3,3,30,2
55,81,POL 211314  J. RODZIEWICZ,Jakub RODZIEWICZ  Jakub RODZIEWICZ,POL  Sejk Pogoń Szczecin,195,154,38,(41.0),22,31,12,2,4,29,16
56,36,SWE 211567  W. KARK,Wilhelm KARK  sup dude  Wilhelm KARK  sup dude,SWE,195,154,36,33,24,(41.0),5,4,18,15,19
57,80,POL 212506  D. KANIA,KANIA Dawid  Dawid KANIA,POL  ZLKS,195,158,22,34,(37.0),19,13,21,16,32,1
58,85,TUR 191719  B. ABAY,Berkay ABAY  Abay  Berkay ABAY  Abay,TUR  Turkish Sailing Team,208,159,39,25,(49.0),33,22,10,8,2,20
59,82,POL 210711  F. CISZKIEWICZ,Filip CISZKIEWICZ  LASER  Filip CISZKIEWICZ  LASER,POL  MKZ ARKA GDYNIA,204,160,11,32,34,(44.0),11,24,5,31,12
60,61,GBR 209409  J. MULLAN,Joseph MULLAN  Joseph MULLAN,GBR  GWSC,209,165,(44.0),40,20,30,1,11,10,25,28
61,33,FIN 211411  A. TAPPER,TAPPER Aleksi  Aleksi TAPPER,FIN  NJK,207,165,25,38,(42.0),23,14,5,19,10,31
62,52,MEX 202694  Y. GENTRY,Yanic GENTRY  UAL  Yanic GENTRY  UAL,MEX  FMV,217,166,33,(51.0)  DSQ,15,38,23,9,15,20,13
63,31,NZL 206419  G. GAUTREY,George GAUTREY  Lulu  George GAUTREY  Lulu,NZL,219,168,22,29,40,20,(51.0)  BFD,34,9,9,5
64,64,SWE 211279  A. GIPPERTH,Albin GIPPERTH  Albin GIPPERTH,SWE  GKSSGöteborgs Kungliga Segelsällskap,220,169,31,29,41,13,(51.0)  BFD,7,32,6,10
65,73,CAN 208069  F. KARIM,Fillah KARIM  Fillah KARIM,CAN,208,169,15,24,35,(39.0),32,6,38,1,18
66,41,POR 212213  S.V. SAMPAIO,Santiago Villax SAMPAIO  Santiago Villax SAMPAIO,POR  AAHBBHochseesegler Baden-Baden e. V.,230,179,32,31,32,16,27,(51.0)  BFD,22,11,8
67,105,FRA 206373  A. BARRUE,Arthur BARRUE  Arthur BARRUE,FRA  Coych,230,179,43,(51.0)  DSQ,17,31,10,23,7,23,25
68,51,CAN 200199  H. MACRAE,Hugh MACRAE  Hugh MACRAE,CAN  KYC,226,182,28,34,24,24,20,18,20,(44.0),14
69,113,TUR 172556  M. ÇAKıR,Mustafa ÇAKIR  LASER  Mustafa ÇAKıR  LASER,TUR  çeşme sailing club,236,188,(48.0),22,19,20,45,26,28,21,7
70,104,TUR 195566  M.D. DINC,Mehmet Duran DINC  Mehmet Duran DINC,TUR,243,192,17,(51.0)  UFD,23,43,39,19,25,3,23
71,94,UKR 172672  V. KUDRYASHOV,valeriy KUDRYASHOV  SHVSM  Valeriy KUDRYASHOV  SHVSM,UKR,249,198,15,18,(51.0)  DNS,21,29,29,51.0  UFD,26,9
72,22,GUA 185314  G. SANZ-AGERO,Gabriel SANZ-AGERO  Oliver  Gabriel SANZ-AGERO  Oliver,GUA,239,199,35,30,(40.0),38,19,31,21,14,11
73,43,ITA 210766  N. VILLA,nicolo VILLA  Nicolo VILLA,ITA  circolo vela torbole,253,202,23,22,39,40,28,(51.0)  BFD,6,38,6
74,46,JPN 202618  Y. KITAMURA,Yuichiro KITAMURA  Yuichiro KITAMURA,JPN,253,202,34,21,35,42,9,12,2,47,(51.0)  BFD
