Pos,Nation,Sail Number,Crew,Race Points
Pos,Nation,Sail Number,Crew,Race Points
1,NED,NED 215438,Niels Broekhuizen,1
2,ITA,ITA 188953,Giovanni Coccoluto,2
3,NOR,NOR 201111,Hermann Tomasgaard,3
4,FRA,FRA 211863,Maxime Mazard,4
5,TTO,TTO 184116,Andrew Lewis,5
6,GBR,GBR 214009,Lorenzo Brando Chiavarini,6
7,PER,PER 206115,Stefano Peschiera,7
8,IRL,IRL 210254,Finn Lynch,8
9,FIN,FIN 214111,Kaarle Tapper,9
10,ESA,ESA 180192,Enrique Jose Arathoon Pacas,10
11,BEL,BEL 207173,William De Smet,11
12,SWE,SWE 215344,Jesper Stalheim,12
13,GBR,GBR 215379,Jack Cookson,13
14,POL,POL 192583,Tadeusz Kubiak,14
15,GBR,GBR 209134,Elliot Hanson,15
16,CAN,CAN 212845,Fillah Karim,16
17,GUA,GUA 211981,Juan Ignacio Maegli Aguero,17
18,CHN,CHN 212277,Yulong Qiu,18
19,ISR,ISR 214931,Maor Ben Hrosh,19
20,GRE,GRE 212529,Dimitris Papadimitriou,20
21,USA,USA 206051,Charlie Buckingham,21
22,EST,EST 203724,Karl-Martin Rammo,22
23,NZL,NZL 216175,Sam Meech,23
24,GBR,GBR 212791,Michael Beckett,24
25,CAN,CAN 211542,Robert Davis,25
26,FRA,FRA 213932,Jean Baptiste Bernaz,26
27,ARG,ARG 211570,Agustin Vidal Incatasciato,27
28,GER,GER 211432,Nik Aaron Willim,28
29,AUS,AUS 199012,Tom Burton,29
30,BEL,BEL 215353,Wannes Van Laer,30
31,GBR,GBR 201481,Jack Wetherell,31
32,TUR,TUR 207480,Alp Rona Rodopman,32
33,USA,USA 210780,Christopher Barnard,33
34,AUS,AUS 214418,Finn Alexander,34
35,ITA,ITA 214150,Gianmarco Planchestainer,35
36,SUI,SUI 210211,Eliot Merceron,36
37,ESP,ESP 211710,Joel Rodriguez,37
38,ESP,ESP 211440,Joaquin Blanco,38
39,NZL,NZL 215081,Thomas Saunders,39
40,AUS,AUS 199015,Matthew Wearn,40
41,NZL,NZL 214437,George Gautrey,41
42,USA,USA 209071,Henry Marshall,42
43,CAN,CAN 214917,Hugh Macrae,43
44,ITA,ITA 215111,Marco Gallo,44
45,IRL,IRL 210978,Liam Glynn,45
46,URU,URU 212833,Ignacio Rodriguez,46
47,GER,GER 212767,Philipp Buhl,47
48,ISR,ISR 211955,Sagie Glantz,48
49,NZL,NZL 212259,Josh Armit,49
50,NED,NED 212968,Yuri Hummel,50
51,SWE,SWE 211567,Wilhelm Kark,51
