Name,SailNum,Cty,FinishPlace,Points
Jakub RODZIEWICZ,49,POL,1,1
Milivoj DUKIC,75,MNE,2,2
Richard MAHER,76,AUS,3,3
Julio ALSOGARAY,89,ARG,4,4
Khairulnizam MOHD AFENDY,50,MAS,5,5
Emil BENGTSON,64,SWE,6,6
Nicolas ROLAZ,83,SUI,7,7
William DE SMET,34,BEL,8,8
Karl-Martin RAMMO,26,EST,9,9
Alexandre BOITE,70,FRA,10,10
Daniil KRUTSKIKH,56,RUS,11,11
Francisco GUARAGNA RIGONAT,18,ARG,12,12
Yoshihiro SUZUKI,82,JPN,13,13
Sam WHALEY,66,GBR,14,14
Alp Rona RODOPMAN,45,TUR,15,15
Fillah KARIM,46,CAN,16,16
Berkay ABAY,78,TUR,17,17
Kenji NANRI,54,JPN,18,18
Francisco RENNA,79,ARG,19,19
Marco GALLO,40,ITA,20,20
Maxime MAZARD,42,FRA,21,21
Clemente SEGUEL LACAMARA,60,CHI,22,22
Ewan MCMAHON,61,IRL,23,23
Nik Aaron WILLIM,32,GER,24,24
Zac LITTLEWOOD,111,AUS,25,25
Juan Pablo CARDOZO,108,ARG,26,26
Ethan MCAULLAY,106,AUS,27,27
Nicolo VILLA,53,ITA,28,28
Etienne LE PEN,62,FRA,29,29
Marnix BOS,87,NED,30,30
Christian GULDBERG ROST,59,DEN,31,31
Hugh MACRAE,44,CAN,-,43
Juan BISIO,58,ARG,-,43
Santiago SAMPAIO,68,POR,-,43
Liam GLYNN,73,IRL,-,43
Josh ARMIT,77,NZL,-,43
Tomas PELLEJERO,80,ARG,-,43
Nicholas BEZY,85,HKG,-,43
Keerati BUALONG,90,THA,-,43
Anastasios PANAGIOTIDIS,93,GRE,-,43
Dan SELF,81,AUS,32,43
