Name,SailNum,Cty,FinishPlace,Points
Karl-Martin RAMMO,26,EST,1,1
Maxime MAZARD,42,FRA,2,2
Jakub RODZIEWICZ,49,POL,3,3
Liam GLYNN,73,IRL,4,4
Richard MAHER,76,AUS,5,5
Alexandre BOITE,70,FRA,6,6
Marnix BOS,87,NED,7,7
Khairulnizam MOHD AFENDY,50,MAS,8,8
Zac LITTLEWOOD,111,AUS,10,9
Ethan MCAULLAY,106,AUS,11,10
Keerati BUALONG,90,THA,12,11
Christian GULDBERG ROST,59,DEN,13,12
Fillah KARIM,46,CAN,14,13
William DE SMET,34,BEL,15,14
Berkay ABAY,78,TUR,16,15
Emil BENGTSON,64,SWE,17,16
Marco GALLO,40,ITA,18,17
Kenji NANRI,54,JPN,19,18
Juan Pablo CARDOZO,108,ARG,20,19
Francisco GUARAGNA RIGONAT,18,ARG,21,20
Hugh MACRAE,44,CAN,22,21
Nicolo VILLA,53,ITA,23,22
Nicholas BEZY,85,HKG,24,23
Dan SELF,81,AUS,25,24
Tomas PELLEJERO,80,ARG,26,25
Yoshihiro SUZUKI,82,JPN,27,26
Etienne LE PEN,62,FRA,28,27
Nicolas ROLAZ,83,SUI,29,28
Daniil KRUTSKIKH,56,RUS,30,29
Josh ARMIT,77,NZL,31,30
Nik Aaron WILLIM,32,GER,32,31
Alp Rona RODOPMAN,45,TUR,-,43
Juan BISIO,58,ARG,-,43
Clemente SEGUEL LACAMARA,60,CHI,-,43
Sam WHALEY,66,GBR,-,43
Santiago SAMPAIO,68,POR,-,43
Milivoj DUKIC,75,MNE,-,43
Francisco RENNA,79,ARG,-,43
Julio ALSOGARAY,89,ARG,-,43
Anastasios PANAGIOTIDIS,93,GRE,-,43
Ewan MCMAHON,61,IRL,9,43
