Name,SailNum,Cty,FinishPlace,Points
Jean Baptiste BERNAZ,4,FRA,1,1
Tonci STIPANOVIC,11,CRO,2,2
Charlie BUCKINGHAM,10,USA,3,3
Nick THOMPSON,21,GBR,4,4
Sam MEECH,3,NZL,5,5
Jesper STALHEIM,7,SWE,6,6
Tom BURTON,2,AUS,7,7
Elliot HANSON,9,GBR,8,8
Stefano PESCHIERA,8,PER,9,9
Jeemin HA,48,KOR,10,10
Ryan LO,39,SGP,11,11
Jakub RODZIEWICZ,49,POL,12,12
Julio ALSOGARAY,89,ARG,13,13
Juan MAEGLI,24,GUA,14,14
Lorenzo Brando CHIAVARINI,16,GBR,15,15
Nicholas BEZY,85,HKG,16,16
Eliot MERCERON,35,SUI,17,17
Alessio SPADONI,104,ITA,18,18
Kenji NANRI,54,JPN,19,19
Marco GALLO,40,ITA,20,20
Yoshihiro SUZUKI,82,JPN,21,21
Richard MAHER,76,AUS,22,22
Francisco RENNA,79,ARG,23,23
Maxime MAZARD,42,FRA,24,24
Juan BISIO,58,ARG,25,25
Keerati BUALONG,90,THA,26,26
Agustin VIDAL INCATASCIATO,51,ARG,27,27
Fredrik WESTMAN,91,FIN,28,28
Samuel KING,100,AUS,29,29
Fillah KARIM,46,CAN,30,30
Hugh MACRAE,44,CAN,31,31
Mark WONG,97,SGP,32,32
Ao HIGUCHI,107,JPN,33,33
Wilhelm KARK,52,SWE,34,34
Giacomo MUSONE,72,ITA,35,35
Forrest WACHHOLZ,71,CAN,36,36
Matti MURU,69,CAN,37,37
Seung KIM,123,KOR,38,38
Campbell STEWART,121,AUS,39,39
Connor SHAW,120,AUS,40,40
Teariki NUMA,119,PNG,41,41
