Name,SailNum,Cty,FinishPlace,Points
Tonci STIPANOVIC,11,CRO,1,1
Sergei KOMISSAROV,22,RUS,2,2
Clemente SEGUEL LACÁMARA,60,CHI,3,3
Michael BECKETT,19,GBR,4,4
Kaarle TAPPER,33,FIN,5,5
Duko BOS,43,NED,6,6
Jonatan VADNAI,23,HUN,7,7
Benjamin VADNAI,31,HUN,8,8
Christopher BARNARD,29,USA,9,9
Juan MAEGLI,24,GUA,10,10
Thomas SAUNDERS,12,NZL,11,11
George GAUTREY,25,NZL,12,12
Lorenzo Brando CHIAVARINI,16,GBR,13,13
Finn ALEXANDER,36,AUS,14,14
Yoshihiro SUZUKI,82,JPN,15,15
Alp Rona RODOPMAN,45,TUR,16,16
Eliot MERCERON,35,SUI,17,17
Ryan LO,39,SGP,18,18
Christian GULDBERG ROST,59,DEN,19,19
Kenji NANRI,54,JPN,20,20
Ewan MCMAHON,61,IRL,21,21
Zac LITTLEWOOD,111,AUS,22,22
Etienne LE PEN,62,FRA,23,23
Ethan MCAULLAY,106,AUS,24,24
Tadeusz KUBIAK,38,POL,25,25
James JUHASZ,84,CAN,26,26
Jacob FARREN-PRICE,96,GBR,27,27
Juan BISIO,58,ARG,28,28
Samuel KING,100,AUS,29,29
Emil BENGTSON,64,SWE,30,30
Fredrik WESTMAN,91,FIN,31,31
Justin NORTON,67,CAN,32,32
Arthit Mikhail ROMANYK,99,THA,33,33
Leo BOUCHER,86,USA,34,34
Keerati BUALONG,90,THA,35,35
Forrest WACHHOLZ,71,CAN,36,36
Liam BRUCE,65,CAN,37,37
Pietari AIRAKORPI,124,FIN,38,38
William SARGENT,110,AUS,39,39
Thomas MCEVOY,125,AUS,40,40
Teariki NUMA,119,PNG,41,41
Wilhelm KARK,52,SWE,-,43
