Name,SailNum,Cty,FinishPlace,Points
Jean Baptiste BERNAZ,4,FRA,1,1
Elliot HANSON,9,GBR,2,2
Alessio SPADONI,104,ITA,3,3
Jesper STALHEIM,7,SWE,4,4
Sam MEECH,3,NZL,5,5
Nick THOMPSON,21,GBR,6,6
Eliot MERCERON,35,SUI,7,7
Maxime MAZARD,42,FRA,8,8
Tom BURTON,2,AUS,9,9
Juan MAEGLI,24,GUA,10,10
Ryan LO,39,SGP,11,11
Hugh MACRAE,44,CAN,12,12
Tonci STIPANOVIC,11,CRO,13,13
Jakub RODZIEWICZ,49,POL,14,14
Lorenzo Brando CHIAVARINI,16,GBR,15,15
Julio ALSOGARAY,89,ARG,16,16
Charlie BUCKINGHAM,10,USA,17,17
Stefano PESCHIERA,8,PER,18,18
Yoshihiro SUZUKI,82,JPN,19,19
Keerati BUALONG,90,THA,20,20
Francisco RENNA,79,ARG,21,21
Fredrik WESTMAN,91,FIN,22,22
Richard MAHER,76,AUS,23,23
Marco GALLO,40,ITA,24,24
Jeemin HA,48,KOR,25,25
Giacomo MUSONE,72,ITA,26,26
Fillah KARIM,46,CAN,28,28
Matti MURU,69,CAN,27,29
Kenji NANRI,54,JPN,29,29
Juan BISIO,58,ARG,30,30
Wilhelm KARK,52,SWE,31,31
Mark WONG,97,SGP,32,32
Agustin VIDAL INCATASCIATO,51,ARG,33,33
Nicholas BEZY,85,HKG,34,34
Samuel KING,100,AUS,35,35
Forrest WACHHOLZ,71,CAN,36,36
Ao HIGUCHI,107,JPN,37,37
Seung KIM,123,KOR,38,38
Campbell STEWART,121,AUS,39,39
Teariki NUMA,119,PNG,40,40
Connor SHAW,120,AUS,41,41
