,,,BRANT BEACH SAILING FOUNDATION - BRANT BEACH,,,,,,,YC ,,,,,,
,,,COLIE SAILS NORTH AMERICAN CHAMPIONSHIPS ,,,,,,,,,,,,,
,,,,,"JULY 18-21, 2019 ",,,,,,,,,,,
,,,,,All Boats ,,,,,,,,,,,
,,,,STNDRD NA 2019 Class Series Summary ,,,,,,,,,,,,
37,215642,Stephen Dolan ,ST GM ,,291,35,38,30,32,33,32,29,33,29,,
,,,,C ,,,,,,,,,,,NS) ,NS) 
,,Carter Boykin-,,Larchmont Y,,,,,,,,,,,,
38,211624,,,,316,(39) ,34,36,37,(39) ,36,36,36,36,34,31
,,Holland ,,C ,,,,,,,,,,,,
,,,,,,,,,,,,,(43\,(43\,,
,,,,,,,,,,,,,,,43\D,43\D
39,209698,Rob Emmet ,ST GM ,SSA ,326,32,35,34,39,31,29,40,DN,DNS,,
,,,,,,,,,,,,,,,NS ,NS 
,,,,,,,,,,,,,S) ,) ,,
,,,,,,,,,,,,,,(43\,,
,,,,Marsh Creek ,,,,,,,,,,,,(43\U
40,208592,Jerzy Sliwinski ,ST GM ,,339,38,39,35,38,38,37,39,37,DNS,38,
,,,,SC ,,,,,,,,,,,,FD) 
,,,,,,,,,,,,,,) ,,
,,,,,,,,,,,,,43\,,,
,,,,Sandy Hook ,,(43\D,(43\D,43\D,43\D,43\D,43\D,43\D,,43\D,43\D,43\D
41,177650,Alan Morley ,ST M ,,387T ,,,,,,,,DN,,,
,,,,Bay CC ,,NF) ,NF) ,NS ,NS ,NS ,NS ,NS ,,NS ,NS ,NS 
,,,,,,,,,,,,,S ,,,
,,,,,,,,,,,,,43\,,,
,,,,,,(43\D,(43\D,43\D,43\D,43\D,43\D,43\D,,43\D,43\D,43\D
41,207144,Chase Carraway ,,CYC1853 ,387T ,,,,,,,,DN,,,
,,,,,,NF) ,NF) ,NS ,NS ,NS ,NS ,NS ,,NS ,NS ,NS 
,,,,,,,,,,,,,S ,,,
"21-Jul-19, 14:47:18 ",,,,,,,,,,,,,,,,
St. Pete Scorer ,,,,,,,,,,,,,,,,
