Name,SailNum,Cty,FinishPlace,Points
Tadeusz KUBIAK,38,POL,1,1
Tonci STIPANOVIC,11,CRO,2,2
Finn LYNCH,14,IRL,3,3
Pavlos KONTIDES,5,CYP,4,4
Wannes VAN LAER,20,BEL,5,5
Eliot MERCERON,35,SUI,6,6
Nicolo VILLA,53,ITA,7,7
Gianmarco PLANCHESTAINER,41,ITA,8,8
Jonatan VADNAI,23,HUN,9,9
Christopher BARNARD,29,USA,10,10
Stefano PESCHIERA,8,PER,11,11
Hugh MACRAE,44,CAN,12,12
Tom BURTON,2,AUS,13,13
Etienne LE PEN,62,FRA,14,14
Filip JURIŠIC,17,CRO,15,15
Milivoj DUKIC,75,MNE,16,16
Zac LITTLEWOOD,111,AUS,17,17
Daniil KRUTSKIKH,56,RUS,18,18
Arthit Mikhail ROMANYK,99,THA,19,19
Anastasios PANAGIOTIDIS,93,GRE,20,20
Dan SELF,81,AUS,21,21
Jacob FARREN-PRICE,96,GBR,22,22
Khairulnizam MOHD AFENDY,50,MAS,23,23
Santiago SAMPAIO,68,POR,24,24
Karl-Martin RAMMO,26,EST,25,25
Upamanyu DUTTA,105,IND,26,26
Juan Pablo CARDOZO,108,ARG,27,27
Luke RUITENBERG,47,CAN,28,28
Christian GULDBERG ROST,59,DEN,29,29
Alexandre KOWALSKI,114,FRA,30,30
Nik Aaron WILLIM,32,GER,31,31
Forrest WACHHOLZ,71,CAN,32,32
Pietari AIRAKORPI,124,FIN,33,33
Marnix BOS,87,NED,34,34
Berkay ABAY,78,TUR,35,35
Liam BRUCE,65,CAN,36,36
Ken FUJIMOTO,118,JPN,37,37
Campbell STEWART,121,AUS,38,38
James JUHASZ,84,CAN,39,39
Martin ARUJA,102,EST,40,40
Keerati BUALONG,90,THA,-,43
