Name,SailNum,Cty,FinishPlace,Points
Jean Baptiste BERNAZ,4,FRA,1,1
Elliot HANSON,9,GBR,2,2
Luke ELLIOTT,28,AUS,3,3
Philipp BUHL,15,GER,4,4
Sam MEECH,3,NZL,5,5
Lorenzo Brando CHIAVARINI,16,GBR,6,6
Marco GALLO,40,ITA,7,7
Josh ARMIT,77,NZL,8,8
Ethan MCAULLAY,106,AUS,9,9
Robert DAVIS,27,CAN,10,10
Rutger VAN SCHAARDENBURG,112,NED,11,11
Charlie BUCKINGHAM,10,USA,12,12
Kaarle TAPPER,33,FIN,13,13
Alexandre BOITE,70,FRA,14,14
Nick THOMPSON,21,GBR,15,15
Robert SCHEIDT,63,BRA,17,16
Sergei KOMISSAROV,22,RUS,18,17
Juan BISIO,58,ARG,19,18
Samuel KING,100,AUS,21,20
William DE SMET,34,BEL,22,21
Alp Rona RODOPMAN,45,TUR,23,22
Ryan LO,39,SGP,24,23
Nicolas ROLAZ,83,SUI,25,24
Wilhelm KARK,52,SWE,26,25
Yoshihiro SUZUKI,82,JPN,27,26
Emil BENGTSON,64,SWE,28,27
Fillah KARIM,46,CAN,20,28
Stijn PAARDEKOOPER,94,NED,29,28
Gustavo CORREA NASCIMENTO,113,BRA,30,29
Richard MAHER,76,AUS,31,30
Agustin VIDAL INCATASCIATO,51,ARG,32,31
Guillermo FLORES MARTÍN,88,ESP,33,32
Matti MURU,69,CAN,34,33
Georg Philip BUNK LAURITSEN,95,DEN,35,34
Ao HIGUCHI,107,JPN,36,35
James STEWART,101,AUS,37,36
Andrew ROBINSON,126,AUS,38,37
Connor SHAW,120,AUS,39,38
Thomas MCEVOY,125,AUS,40,39
Teariki NUMA,119,PNG,41,40
Kazumasa SEGAWA,57,JPN,-,43
Julio ALSOGARAY,89,ARG,16,43
