Name,SailNum,Cty,Total,Net,QR1_yellow,QR1_blue,QR1_red,QR2_yellow,QR2_blue,QR2_red,QR3_yellow,QR3_blue,QR3_red,QR4_yellow,QR4_blue,QR4_red,QR5_yellow,QR5_blue,QR5_red,QR6_yellow,QR6_blue,QR6_red,FR7_gold,FR7_silver,FR7_bronze,FR8_gold,FR8_silver,FR8_bronze,FR9_gold,FR9_silver,FR9_bronze,FR10_gold,FR10_silver,FR10_bronze,FR11_gold,FR11_silver,FR11_bronze,FR12_gold,FR12_silver,FR12_bronze,fleet
Hugh MACRAE,44,CAN,270,196.0,,13.0,,,12.0,,,12.0,,,31.0,,26.0,,,14.0,,,,21.0,,,16.0,,,23.0,,,25.0,,,34.0,,,43.0,,2.0
Zac LITTLEWOOD,111,AUS,270,204.0,,34.0,,,17.0,,,,25.0,,,21.0,,,20.0,,,22.0,,9.0,,,20.0,,,32.0,,,20.0,,,25.0,,,25.0,,2.0
Nik Aaron WILLIM,32,GER,284,207.0,,19.0,,,31.0,,11.0,,,23.0,,,14.0,,,37.0,,,,31.0,,,9.0,,,40.0,,,13.0,,,32.0,,,24.0,,2.0
Christian GULDBERG ROST,59,DEN,270,209.0,,2.0,,,29.0,,,,23.0,,,27.0,,,22.0,,,19.0,,12.0,,,32.0,,,12.0,,,31.0,,,30.0,,,31.0,,2.0
Fillah KARIM,46,CAN,275,209.0,,,28.0,,,28.0,,28.0,,,30.0,,22.0,,,1.0,,,,13.0,,,36.0,,,33.0,,,24.0,,,16.0,,,16.0,,2.0
Yoshihiro SUZUKI,82,JPN,280,210.0,,,26.0,,,22.0,,19.0,,,21.0,,,,31.0,,,15.0,,26.0,,,24.0,,,30.0,,,39.0,,,14.0,,,13.0,,2.0
Nicholas BEZY,85,HKG,297,211.0,43.0,,,22.0,,,,34.0,,,16.0,,27.0,,,29.0,,,,23.0,,,25.0,,,8.0,,,19.0,,,8.0,,,43.0,,2.0
Etienne LE PEN,62,FRA,282,212.0,,20.0,,,14.0,,23.0,,,32.0,,,,,26.0,,,23.0,,27.0,,,38.0,,,21.0,,,5.0,,,24.0,,,29.0,,2.0
Ewan MCMAHON,61,IRL,299,213.0,22.0,,,43.0,,,27.0,,,21.0,,,,,9.0,,,21.0,,43.0,,,21.0,,,28.0,,,40.0,,,1.0,,,23.0,,2.0
Juan Pablo CARDOZO,108,ARG,284,218.0,,25.0,,,27.0,,,,16.0,,,20.0,13.0,,,10.0,,,,19.0,,,31.0,,,31.0,,,27.0,,,39.0,,,26.0,,2.0
Berkay ABAY,78,TUR,293,220.0,,18.0,,,35.0,,26.0,,,18.0,,,,26.0,,,18.0,,,15.0,,,35.0,,,20.0,,,38.0,,,27.0,,,17.0,,2.0
Nicolo VILLA,53,ITA,289,223.0,,5.0,,,7.0,,,,30.0,,,22.0,,29.0,,,23.0,,,22.0,,,33.0,,,36.0,,,26.0,,,28.0,,,28.0,,2.0
Liam GLYNN,73,IRL,307,230.0,34.0,,,26.0,,,21.0,,,25.0,,,,16.0,,,19.0,,,4.0,,,12.0,,,39.0,,,30.0,,,38.0,,,43.0,,2.0
Dan SELF,81,AUS,306,238.0,,15.0,,,21.0,,,,22.0,,,23.0,,24.0,,,25.0,,,24.0,,,39.0,,,18.0,,,23.0,,,29.0,,,43.0,,2.0
