Sail No.,Name,T,N,QR1,QR2,QR3,QR4,QR5,QR6,FR7,FR8,FR9,FR10,FR11,FR12
LTU 213078,Martis Pajarskas,320,232,26,29,53 BFD,14,24,20,33,35,8,35,19,24
NZL 212259,Josh Armit,312,235,38,27,18,26,32,22,32,21,24,23,10,39
IND 208191,Vishnu Saravanan,320,249,33,23,29,38,28,26,28,26,29,4,25,31
FIN 215436,Nooa Laukkanen,332,251,23,21,19,28,26,14,53 BFD,53 BFD,23,11,18,43
POL 210788,Filip Ciszkiewicz,363,257,16,53 BFD,25,40,21,24,8,37,46,34,53 BFD,6
USA 199338,Marshall McCann,347,268,27,20,33,24,16,23,26,32,41,46,30,29
THA 211027,Chusitt Punjamala,354.6,270.6,3,18,43,37.6 DPI,40,31,37,11,28,41,29,36
GRE 212529,Dimitris Papadimitriou,362,272,18,14,30,32,40,38,7,34,22,40,37,50
POR 212213,Santiago Sampaio,389,289,47,53 BFD,28,28,29,13,24,41,47,30,40,9
BRA 209253,Philipp Grochtmann,386,297,35,15,20,18,36,25,53 RET,45,42,3,53 BFD,41
CAN 178611,Fillah Karim,400,303,51,22,25,30,16,12,43,44,32,43,36,46
GRE 215524,Adonis Bougiouris,402,304,45,23,24,30,30,18,41,38,39,47,53 BFD,14
FIN 211411,Aleksi Tapper,413,307,15,53 BFD,35,27,34,37,23,53 BFD,27,31,53 BFD,25
IRL 210978,Liam Glynn,408,315,21,10,26,28,38,40,34,53 BFD,49,25,35,49
JPN 208222,Ao Higuchi,408,315,23,24,23,39,37,40,40,53 BFD,36,21,24,48
SGP 199094,Mark Wong,405,316,19,25,36,37,30,44,30,31,40,45,31,37
POR 212114,Rui Silveira,424,318,30,11,53 BFD,36,31,39,53 BFD,29,53 RET,20,27,42
LTU 210163,Karolis Janulionis,420,320,21,53 BFD,35,23,42,27,42,36,45,10,39,47
BRN 212489,Abdulla Janahi,411,321,18,19,34,33,29,37,53 RET,53 BFD,20,49,38,28
AUS 216171,Dan Self,435,334,48,37,40,12,20,35,53 BFD,23,43,48,53 BFD,23
AUS 202706,Richard Maher,430,335,26,27,38,42,27,28,53 BFD,9,44,51,34,51
ITA 214149,Giovanni Coccoluto,447,353,17,33,41,13,10,15,53 DNC,53 DNC,53 DNC,53 DNC,53 DNC,53
KOR 214462,Bo Jeong,442,354,31,35,33,26,28,23,35,42,53 UFD,38,53 RET,45
JPN 204996,Yoshihiro Suzuki,247,160,33,53 BFD,22,31,34,29,9,21,3,9,1,2
ISR 214931,Maor Harosh Ben,254,171,38,9,42,37,38,41,7,28,1,3,2,8
FRA 203855,Alexandre Boite,279,184,16,53 BFD,34,31,32,42,8,6,4,25,12,16
CHN 211127,Zili Wang,279,190,22,53 BFD,36,31,33,32,17,4,2,26,16,7
AUS 216194,James Stewart,303,201,36,53 BFD,18,32,39,34,3,49,26,6,6,1
SUI 215485,Nicolas Rolaz,297,210,25,34,31,27,33,33,53 UFD,3,17,4,19,18
ESP 213113,Jesus Rogel,319,213,25,53 DSQ,29,42,32,24,10,14,11,17,9,53
CHN 211225,Yang Yang,298,214,13,37,29,41,43,34,1,33,7,21,28,11
JPN 208000,Kazumasa Segawa,300,216,22,39,41,43,23,38,11,11,21,36,3,12
HKG 171979,Nicholas Bezy,317,226,38,53 BFD,37,25,34,19,24,22,14,31,14,6
AUS 206732,Samuel King,326,228,32,53 BFD,39,20,45,45,15,1,10,16,35,15
IND 203055,Upamanyu Dutta,330,232,44,22,37,45,41,41,6,20,53 RET,2,5,14
COL 212917,Andrey Quintero,324,239,45,40,30,37,16,26,28,25,13,20,22,22
IND 212162,Mohit Saini,334,240,50,36,38,41,41,44,27,9,28,10,7,3
USA 211822,Paul Didham,340,240,42,53 BFD,39,47,39,41,5,18,8,22,13,13
THA 215072,Arthit Romanyk,323,241,31,39,28,43,37,36,32,7,23,18,24,5
ISR 202121,Omer Golani,327,242,42,30,34,39,33,43,4,24,27,34,8,9
CAN 212612,Justin Norton,346,249,28,53 BFD,35,44,35,38,26,38,16,19,10,4
