Name,SailNum,Cty,FinishPlace,Points
Jean Baptiste BERNAZ,4,FRA,1,1
Charlie BUCKINGHAM,10,USA,2,2
Wannes VAN LAER,20,BEL,3,3
Jeemin HA,48,KOR,4,4
Alessio SPADONI,104,ITA,5,5
Thomas SAUNDERS,12,NZL,6,6
Nick THOMPSON,21,GBR,7,7
Rutger VAN SCHAARDENBURG,112,NED,8,8
Matt WEARN,1,AUS,9,9
Philipp BUHL,15,GER,10,10
Mitchell KENNEDY,37,AUS,11,11
Filip JURISIC,17,CRO,12,12
Pavlos KONTIDES,5,CYP,13,13
Robert DAVIS,27,CAN,14,14
Benjamin VADNAI,31,HUN,15,15
Elliot HANSON,9,GBR,16,16
Sam MEECH,3,NZL,17,17
Tom BURTON,2,AUS,18,18
Jonatan VADNAI,23,HUN,19,19
Maxim NIKOLAEV,55,RUS,20,20
Tonci STIPANOVIC,11,CRO,21,21
Lorenzo Brando CHIAVARINI,16,GBR,22,22
Juan MAEGLI,24,GUA,23,23
Luke ELLIOTT,28,AUS,24,24
Jesper STALHEIM,7,SWE,25,25
Duko BOS,43,NED,26,26
George GAUTREY,25,NZL,27,27
Finn LYNCH,14,IRL,28,28
Enrique ARATHOON,30,ESA,29,29
Gianmarco PLANCHESTAINER,41,ITA,31,30
Eliot MERCERON,35,SUI,32,31
Sergei KOMISSAROV,22,RUS,33,32
Michael BECKETT,19,GBR,34,33
Giovanni COCCOLUTO,13,ITA,35,34
Hermann TOMASGAARD,6,NOR,36,35
Kaarle TAPPER,33,FIN,37,36
Finn ALEXANDER,36,AUS,38,37
Christopher BARNARD,29,USA,39,38
Tadeusz KUBIAK,38,POL,40,39
Ryan LO,39,SGP,41,40
Robert SCHEIDT,63,BRA,-,43
Stefano PESCHIERA,8,PER,30,43
