Name,SailNum,Cty,FinishPlace,Points
Gustavo CORREA NASCIMENTO,113,BRA,1,1
Guillermo FLORES MARTIN,88,ESP,2,2
Yuichiro KITAMURA,92,JPN,3,3
Arthit Mikhail ROMANYK,99,THA,4,4
Stijn PAARDEKOOPER,94,NED,5,5
Justin NORTON,67,CAN,6,6
Fredrik WESTMAN,91,FIN,7,7
Luke DEEGAN,98,NZL,8,8
Giacomo MUSONE,72,ITA,9,9
Yigit Yalcin CITAK,109,TUR,10,10
Georg Philip BUNK LAURITSEN,95,DEN,11,11
Leo BOUCHER,86,USA,12,12
Kazumasa SEGAWA,57,JPN,13,13
Forrest WACHHOLZ,71,CAN,14,14
Samuel KING,100,AUS,15,15
Jacob FARREN-PRICE,96,GBR,16,16
Ao HIGUCHI,107,JPN,17,17
James JUHASZ,84,CAN,18,18
Luke RUITENBERG,47,CAN,19,19
Martin ARUJA,102,EST,20,20
Mark WONG,97,SGP,21,21
Alexandre KOWALSKI,114,FRA,22,22
Upamanyu DUTTA,105,IND,23,23
Thad LETTSOME,103,IVB,24,24
Campbell PATTON,115,BER,25,25
Liam BRUCE,65,CAN,26,26
Andrew ROBINSON,126,AUS,27,27
James STEWART,101,AUS,28,28
Matti MURU,69,CAN,29,29
Eroni LEILUA,116,SAM,30,30
Campbell STEWART,121,AUS,31,31
William SARGENT,110,AUS,32,32
Ken FUJIMOTO,118,JPN,33,33
Connor SHAW,120,AUS,34,34
Seung KIM,123,KOR,35,35
Thomas MCEVOY,125,AUS,36,36
Pietari AIRAKORPI,124,FIN,37,37
Agustin VIDAL INCATASCIATO,51,ARG,-,43
Wilhelm KARK,52,SWE,-,43
Teariki NUMA,119,PNG,-,43
Stephen GUNTHER,122,AUS,-,43
