Name,SailNum,Cty,FinishPlace,Points
Finn LYNCH,14,IRL,1,1
Matt WEARN,1,AUS,2,2
Lorenzo Brando CHIAVARINI,16,GBR,3,3
Tonci STIPANOVIC,11,CRO,4,4
Pavlos KONTIDES,5,CYP,5,5
Philipp BUHL,15,GER,6,6
Duko BOS,43,NED,7,7
Jesper STALHEIM,7,SWE,8,8
Charlie BUCKINGHAM,10,USA,9,9
Elliot HANSON,9,GBR,10,10
Tom BURTON,2,AUS,11,11
Finn ALEXANDER,36,AUS,12,12
Stefano PESCHIERA,8,PER,13,13
Luke ELLIOTT,28,AUS,14,14
Hermann TOMASGAARD,6,NOR,15,15
Sergei KOMISSAROV,22,RUS,16,16
Alessio SPADONI,104,ITA,17,17
Sam MEECH,3,NZL,18,18
Wannes VAN LAER,20,BEL,19,19
Rutger VAN SCHAARDENBURG,112,NED,20,20
Jeemin HA,48,KOR,21,21
Juan MAEGLI,24,GUA,22,22
George GAUTREY,25,NZL,23,23
Filip JURISIC,17,CRO,24,24
Benjamin VADNAI,31,HUN,25,25
Nick THOMPSON,21,GBR,26,26
Enrique ARATHOON,30,ESA,27,27
Michael BECKETT,19,GBR,28,28
Kaarle TAPPER,33,FIN,29,29
Eliot MERCERON,35,SUI,30,30
Giovanni COCCOLUTO,13,ITA,31,31
Jean Baptiste BERNAZ,4,FRA,32,32
Christopher BARNARD,29,USA,33,33
Tadeusz KUBIAK,38,POL,34,34
Robert DAVIS,27,CAN,35,35
Ryan LO,39,SGP,36,36
Thomas SAUNDERS,12,NZL,37,37
Maxim NIKOLAEV,55,RUS,38,38
Mitchell KENNEDY,37,AUS,39,39
Gianmarco PLANCHESTAINER,41,ITA,40,40
Jonatan VADNAI,23,HUN,41,41
Robert SCHEIDT,63,BRA,-,43
