Name,SailNum,Cty,FinishPlace,Points
Hermann TOMASGAARD,6,NOR,1,1
Philipp BUHL,15,GER,2,2
Elliot HANSON,9,GBR,3,3
Matt WEARN,1,AUS,4,4
George GAUTREY,25,NZL,5,5
Luke ELLIOTT,28,AUS,6,6
Christopher BARNARD,29,USA,7,7
Tom BURTON,2,AUS,9,8
Jeemin HA,48,KOR,10,9
Jesper STALHEIM,7,SWE,11,10
Mitchell KENNEDY,37,AUS,12,11
Alessio SPADONI,104,ITA,13,12
Charlie BUCKINGHAM,10,USA,14,13
Sam MEECH,3,NZL,15,14
Juan MAEGLI,24,GUA,16,15
Thomas SAUNDERS,12,NZL,17,16
Filip JURISIC,17,CRO,18,17
Tonci STIPANOVIC,11,CRO,19,18
Enrique ARATHOON,30,ESA,20,19
Kaarle TAPPER,33,FIN,21,20
Duko BOS,43,NED,22,21
Benjamin VADNAI,31,HUN,23,22
Giovanni COCCOLUTO,13,ITA,24,23
Maxim NIKOLAEV,55,RUS,25,24
Ryan LO,39,SGP,26,25
Tadeusz KUBIAK,38,POL,27,26
Pavlos KONTIDES,5,CYP,28,27
Stefano PESCHIERA,8,PER,29,28
Finn ALEXANDER,36,AUS,30,29
Michael BECKETT,19,GBR,31,30
Eliot MERCERON,35,SUI,32,31
Wannes VAN LAER,20,BEL,33,32
Jonatan VADNAI,23,HUN,34,33
Lorenzo Brando CHIAVARINI,16,GBR,35,34
Rutger VAN SCHAARDENBURG,112,NED,36,35
Finn LYNCH,14,IRL,37,36
Nick THOMPSON,21,GBR,38,37
Robert SCHEIDT,63,BRA,39,38
Gianmarco PLANCHESTAINER,41,ITA,40,39
Sergei KOMISSAROV,22,RUS,41,40
Robert DAVIS,27,CAN,42,41
Jean Baptiste BERNAZ,4,FRA,8,43
