,,,EUROPEAN LASER MASTERS CHAMPIONSHIP 2019,,,,,,,,,,,,
,,,,Grup Esports Nàutics de Roses,,,,,,,,,,,
,,,,From 06/14/2019 to 06/20/2019,,,,,,,,,,,
,,,,,,,,,,,,Entries: 66,,,
Overall Results,,,,,,,,,,,,,,Discards applied: 1,
Class: Laser Standard Green,,,,,,,,,RACE,,,,,POINTS,
Pos,Sail #,Bow,Crew / Club,Cat,1,2,3,4,5,6,7,8,9,TOTAL,NET
,,,,,,,,,,(67),,,,,
41,SWE 209894,104,"PERSSON, Staffan",GM-EU,41,34,42,(54),44,40,25,35,32,347,293
42,POL 212647,78,"BARDAN, Maciej",GM-EU,38,41,23,35,(52),38,45,42,35,349,297
43,ITA 202259,44,"BRAGA, Luca Santo",GM-EU,33,46,(51),51,31,37,30,36,38,353,302
,,,,,,,,,,DNF,,,,,
44,SWE 203584,99,"LUNDGREN, Micael",GM-EU,31,39,24,10,58,,49,49,51,378,311
,,,,,,,,,,(67),,,,,
,,,,,,,,,,,,,BFD,,
45,GBR 213463,39,"NOBLE, Guy",GM-EU,45,56,50,30,29,35,44,31,,387,320
,,,,,,,,,,,,,(67),,
46,POR 213522,81,"PESSANHA, Miguel",GM-EU,50,45,54,11,47,33,(59),48,33,380,321
,,,,,UFD,,,,,,,,DNC,,
47,GBR 214189,35,"HEATH, Paul",GM-EU,,50,53,28,14,39,36,46,,400,333
,,,,,(67),,,,,,,,67,,
48,NED 215915,58,"BINNENDIJK, Martin",GM-EU,43,40,40,27,(55),42,46,43,54,390,335
49,FRA 213621,11,"JOST, Patrick",GM-EU,52,42,36,7,48,(54),53,53,47,392,338
50,ESP 198445,83,"BATLLE, Vicenç",GM-EU,49,52,39,44,41,45,39,(54),44,407,353
,,,,,DNC,DNC,DNC,DNC,,,,DNC,,,
51,AUS 212840,111,"SCALI, Antonino",GM-ROW,,,,,20,26,22,,25,428,361
,,,,,(67),67,67,67,,,,67,,,
,,,,Sailti Scoring Soft,,,,,,,,,,Page 2/3,
,,,,,,,,,,,06/20/2019 - 19:09:28,,,,
,,,,,,,,,,,,,DNC,,
52,SWE 200936,97,"JÖNINGER, Nils",GM-EU,42,43,55,47,43,47,40,61,,445,378
,,,,,,,,,,,,,(67),,
53,FRA 202123,13,"MEESEMAECKER, François",GM-EU,54,51,41,48,(57),50,52,47,37,437,380
54,NOR 156389,77,"SUNDE, Geir",GM-EU,51,49,(58),53,50,43,50,45,46,445,387
,,,,,,,,,,RET,,,,,
55,FRA 204338,9,"CHADEYRON, Philippe",GM-EU,59,54,64,42,51,,47,40,42,466,399
,,,,,,,,,,(67),,,,,
56,GER 213999,30,"WENDT, Jörg",GM-EU,53,59,57,59,37,53,(60),50,43,471,411
57,NOR 204666,76,"LOHRMANN, Atle",GM-EU,47,55,48,57,(62),48,57,51,48,473,411
,,,,,,,,,,DNF,,,DNC,,
58,FRA 214105,17,"TONNELIER, Jean Louis",GM-EU,61,60,60,6,40,,62,58,,481,414
,,,,,,,,,,(67),,,67,,
,,,,,,DNC,,,DNC,DNC,,DNC,DNC,,
59,NED 213004,68,"MEIJER, Hans",GM-EU,48,,37,34,,,33,,,487,420
,,,,,,(67),,,67,67,,67,67,,
,,,,,,,,,,DNF,,,DNC,,
60,GBR 211111,34,"GREEN, Howard",GM-EU,55,53,56,56,36,,55,44,,489,422
,,,,,,,,,,(67),,,67,,
,,,,,,,,,,DNC,,,,,
61,NED 200857,73,"VAN DER LINGEN, Hein",GM-EU,57,57,61,50,61,,56,55,45,509,442
,,,,,,,,,,(67),,,,,
,,,,,,DNC,,RET,,,,,,,
62,ITA 215318,50,"DAVIDE, Grassi",GM-EU,56,,52,,56,51,58,57,50,514,447
,,,,,,(67),,67,,,,,,,
,,,,,,,,,,DNC,,,,,
63,GER 197175,27,"REINISCH, Theodor",GM-EU,60,61,62,58,49,,64,59,52,532,465
,,,,,,,,,,(67),,,,,
,,,,,DNS,,,,,DNC,,,,,
64,ESP 213980,84,"BREUR, Job",GM-EU,,58,63,60,59,,63,56,53,546,479
,,,,,(67),,,,,67,,,,,
,,,,,,,,DNF,,DNC,,,DNC,,
65,MON 185052,56,"MCFARLANE, Robert",GM-EU,62,62,59,,63,,61,60,,568,501
,,,,,,,,(67),,67,,,67,,
,,,,,,RET,,,DNF,DNC,DNS,,DNF,,
66,GER 144463,20,"HAEMMERLE, Arnulf",GGM-EU,63,,65,61,,,,62,,586,519
,,,,,,(67),,,67,67,67,,67,,
,,,,Sailti Scoring Soft,,,,,,,,,,Page 3/3,
,,,,,,,,,,,06/20/2019 - 19:09:28,,,,
Powered by TCPDF (www.tcpdf.org),,,,,,,,,,,,,,,
