Name,SailNum,Cty,FinishPlace,Points
Finn ALEXANDER,36,AUS,1,1
Duko BOS,43,NED,2,2
Benjamin VADNAI,31,HUN,3,3
Matt WEARN,1,AUS,4,4
Jesper STALHEIM,7,SWE,5,5
Maxim NIKOLAEV,55,RUS,6,6
Mitchell KENNEDY,37,AUS,7,7
Maxime MAZARD,42,FRA,8,8
Thomas SAUNDERS,12,NZL,9,9
Giovanni COCCOLUTO,13,ITA,10,10
Hermann TOMASGAARD,6,NOR,11,11
Jeemin HA,48,KOR,12,12
Clemente SEGUEL LACÁMARA,60,CHI,14,13
George GAUTREY,25,NZL,15,14
Giacomo MUSONE,72,ITA,16,15
Enrique ARATHOON,30,ESA,17,16
Michael BECKETT,19,GBR,18,17
Tomas PELLEJERO,80,ARG,19,18
Francisco GUARAGNA RIGONAT,18,ARG,20,19
Francisco RENNA,79,ARG,21,20
Jakub RODZIEWICZ,49,POL,22,21
Nicholas BEZY,85,HKG,23,22
Juan MAEGLI,24,GUA,24,23
Justin NORTON,67,CAN,25,24
Alessio SPADONI,104,ITA,26,25
Liam GLYNN,73,IRL,27,26
Mark WONG,97,SGP,28,27
Sam WHALEY,66,GBR,29,28
Leo BOUCHER,86,USA,30,29
Yuichiro KITAMURA,92,JPN,31,30
Kenji NANRI,54,JPN,32,31
Luke DEEGAN,98,NZL,33,32
Yigit Yalcin CITAK,109,TUR,34,33
Campbell PATTON,115,BER,35,34
Thad LETTSOME,103,IVB,36,35
Fredrik WESTMAN,91,FIN,37,36
William SARGENT,110,AUS,38,37
Seung KIM,123,KOR,39,38
Eroni LEILUA,116,SAM,40,39
Stephen GUNTHER,122,AUS,41,40
Ewan MCMAHON,61,IRL,13,43
