Pos,Nation,Sail Number,Crew,Race Points
Pos,Nation,Sail Number,Crew,Race Points
1,CAN,CAN 208550,Matti Muru,1
2,BUL,BUL 213486,Ivo Todorov,2
3,ESP,ESP 213867,Mon Canellas Salas,3
4,USA,USA 199796,Malcolm Lamphere,4
5,COL,COL 208822,Andrey Quintero,5
6,POR,POR 212213,Santiago Sampaio,6
7,CAY,CAY 206160,Jesse Jackson,7
8,PUR,PUR 174311,Pedro Luis Fernandez,8
9,BRN,BRN 212489,Abdulla Janahi,9
10,CHI,CHI 211888,Clemente Seguel,10
11,CAN,CAN 212612,Justin Norton,11
12,GBR,GBR 214490,Daniel Whiteley,12
13,EST,EST 212230,Martin Aruja,13
14,GBR,GBR 213719,Sam Whaley,14
15,MEX,MEX 181615,Juan Ignacio Perez,15
16,HKG,HKG 171979,Hong Kong,16
17,MEX,MEX 213173,Yanic Gentry,17
18,CAN,CAN 209376,Luke Ruitenberg,18
19,TPE,TPE 200315,Gerald Williams,19
20,USA,USA 157851,Leo Boucher,20
21,CHN,CHN 211127,Zili Wang,21
22,BRA,BRA 204597,Joao Pedro Herrlein Souto de Oliveira,22
23,CAN,CAN 209616,Forrest Wachholz,23
24,THA,THA 211027,Chusitt Punjamala,24
25,DEN,DEN 206979,Georg Philip Bunk Lauritsen,25
26,POL,POL 214117,Jakub Rodziewicz,26
27,USA,USA 211822,Paul Didham,27
28,CAN,CAN 192936,Chris Dold,28
29,POL,POL 208552,Filip Ciszkiewicz,29
30,ITA,ITA 188983,Nicolo Villa,30
31,GUA,GUA 182112,Gabriel Sanz Agero,31
32,SUI,SUI 215485,Nicolas Rolaz,32
33,BER,BER 209338,Malcolm Benn Smith,33
34,MEX,MEX 200374,Gerardo Benitez,34
35,USA,USA 210459,Scott Rasmussen,35
36,CAN,CAN 215019,Liam Bruce,36
37,ECU,ECU 188778,Matias Dyck,37
38,USA,USA 199338,Marshall McCann,38
39,FIN,FIN 215016,Fredrik Westman,39
40,ESP,ESP 216631,Jesus Rogel Sanchez,40
41,USA,USA 180521,Marek Zaleski,41
42,SGP,SGP 215267,Ryan Lo,42
43,CAN,CAN 210644,James Juhasz,43
44,ISR,ISR 202121,Omer Golani,44
45,IVB,IVB 208841,Thad Lettsome,45
46,EST,EST 212229,Georg Haud,46
51,POL,POL 215006,Dawid Kania,51BFD
51,BAR,BAR 160107,Scott Gittens,51BFD
51,MEX,MEX 200591,Adrian Elizondo Garza,51BFD
51,USA,USA 171880,Steven Schwartz,51DNC
