Nation,Sail Number,Name,R1,R2,R3,R4,R5,R6,R7,Total,Net
ECU,ECU 188778,Matias Dyck,15,20,29,33,24,11,(43),175,132
ESA,ESA 180192,Enrique Jose Arathoon Pacas,20,33,4,43,7,27,(57)DNF,191,134
ARG,ARG 211570,Agustin Vidal Incatasciato,32,(39),27,22,11,24,19,174,135
FIN,FIN 214111,Kaarle Tapper,16,9,9,9,(57)DNC,57DNC,36,193,136
CAN,CAN 211542,Robert Davis,23,27,32,15,20,21,(38),176,138
GRE,GRE 212529,Dimitris Papadimitriou,(57)UFD,23,17,22,21,19,39,198,141
GRE,GRE 212527,Adonis Bougiouris,(44),12,40,11,25,12,42,186,142
ITA,ITA 188983,Nicolo Villa,19,14,35,26,19,31,(46),190,144
AUS,AUS 202706,Richard Maher,(48),10,48,10,3,28,47,194,146
MON,MON 199212,Jeremy Moutout,34,7,26,34,8,39,(57)DNC,205,148
RUS,RUS 213593,Kirill Evfimyevskiy,26,(41),14,29,13,26,41,190,149
ITA,ITA 215111,Marco Gallo,(57)DSQ,57DSQ,57DSQ,57DSQ,57BFD,57DSQ,57DSQ,399,342
SGP,SGP 215267,Ryan Lo,13,26,(57)DNC,54,12,11,8,182,125
MNE,MNE 215840,Milivoj Dukic,12,32,34,31,9,(41),4,177,136
ITA,ITA 213174,Giacomo Musone,21,35,31,16,13,(57)DNF,13,204,147
SUI,SUI 215485,Nicolas Rolaz,24,16,8,37,(57)DNC,44,11,209,152
CHN,CHN 211225,Yang Yang,38,19,16,32,(43),17,17,205,162
URU,URU 216133,Ignacio Rodriguez,23STP,12,21,37,37,30,(41),206,165
CHI,CHI 211888,Clemente Seguel,(55),35,22,26,31,23,16,221,166
ITA,ITA 209114,Giovanni Sanfilippo,40,46,22.1DPI,16,(47),35,5,213.1,166.1
ESP,ESP 196717,Pere Ponseti Mesquida,24,15,25,25,29,50,1,225,169
ESP,ESP 211710,Joel Rodriguez,28,22,30,21,26,(34),10,203,169
GBR,GBR 214490,Daniel Whiteley,12,17,(57)UFD,34,40,48,12,237,180
