,Nr,Bow#,Sail Number,Unnamed: 3,Team  Boat Name,Club,Boat Type,Hdcp.,CDL,T,N,Sailed Time,Sailed Time.1,Sailed Time.2,Sailed Time.3,Sailed Time.4,Sailed Time.5,Sailed Time.6,Sailed Time.7,Sailed Time.8,Sailed Time.9,Calculated Time,Calculated Time.1,Calculated Time.2,Calculated Time.3,Calculated Time.4,Calculated Time.5,Calculated Time.6,Calculated Time.7,Calculated Time.8,Calculated Time.9,Q1,Q2,Q3,Q4,Q5,Q6,F1,F2,F3,M1,Q1Q2Q3Q4Q5Q6F1F2F3M1,Unnamed: 42
105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,54.0,,ECU 188778  M. DYCK,Matias DYCK  Matias DYCK,ECU  SYL,,,,,171.0,126.0,,,,,,,,,,,,,,,,,,,,,34.0,1.0,19.0,20.0,23.0,7.0,(45.0)  BFD,4.0,18.0,,34.0  1.0  19.0  20.0  23.0  7.0  (45.0)  BFD  4.0  18.0,
107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,55.0,,BRN 211121  A. JANAHI,Abdulla JANAHI  Sailing Academy Gran Canaria  Abdulla JANAHI  Sailing Academy Gran Canaria,BRN  Sailing Academy Gran Canaria,,,,,173.0,127.0,,,,,,,,,,,,,,,,,,,,,26.0,(46.0)  DNC,20.0,24.0,19.0,18.0,4.0,9.0,7.0,,26.0  (46.0)  DNC  20.0  24.0  19.0  18.0  4.0  9.0  7.0,
109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,56.0,,CHN 219889  NING Z.,Zhao NING  Ning  NING Zhao  Ning,CHN  Jiangsu Sailing Team,,,,,177.0,131.0,,,,,,,,,,,,,,,,,,,,,(46.0)  BFD,46.0  DNE,4.0,15.0,6.0,6.0,4.0  DPI,45.0  BFD,5.0  DPI,,(46.0)  BFD  46.0  DNE  4.0  15.0  6.0  6.0  4.0  DPI  45.0  BFD  5.0  DPI,
111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,57.0,,SWE 211567  W. KARK,Wilhelm KARK  sup dude  Wilhelm KARK  sup dude,SWE  KsssKSSS,,,,,155.0,131.0,,,,,,,,,,,,,,,,,,,,,4.0,19.0,18.0,17.0,(24.0),20.0,22.0  DPI,18.0  DPI,13.0  DPI,,4.0  19.0  18.0  17.0  (24.0)  20.0  22.0  DPI  18.0  DPI  13.0  DPI,
113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,58.0,,ITA 191765  P. de LUCA,Pietro DE LUCA  Pietro de LUCA,ITA  Fraglia Vela Malcesine,,,,,166.0,135.0,,,,,,,,,,,,,,,,,,,,,21.0,(31.0),22.0,22.0,15.0,13.0,15.0  DPI,13.0  DPI,14.0  DPI,,21.0  (31.0)  22.0  22.0  15.0  13.0  15.0  DPI  13.0  DPI  14.0  DPI,
115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,59.0,,ITA 191700  M. CELON,Matteo CELON  uccia  Matteo CELON  uccia,ITA  Fraglia V.M.,,,,,163.0,137.0,,,,,,,,,,,,,,,,,,,,,13.0,21.0,(26.0),18.0,17.0,16.0,26.0  DPI,19.0  DPI,7.0  DPI,,13.0  21.0  (26.0)  18.0  17.0  16.0  26.0  DPI  19.0  DPI  7.0  DPI,
117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,60.0,,GBR 211405  J. MULLAN,Joseph MULLAN  Joseph MULLAN,GBR  GWSC,,,,,192.0,146.0,,,,,,,,,,,,,,,,,,,,,(46.0)  BFD,23.0,21.0,21.0,22.0,18.0,20.0,7.0,14.0,,(46.0)  BFD  23.0  21.0  21.0  22.0  18.0  20.0  7.0  14.0,
119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,61.0,,GBR 212040  A. PARKE,PARKE Anthony  Anthony PARKE,GBR  HISC,,,,,193.0,147.0,,,,,,,,,,,,,,,,,,,,,17.0,(46.0)  DNC,17.0,21.0,16.0,10.0,8.0,13.0,45.0  BFD,,17.0  (46.0)  DNC  17.0  21.0  16.0  10.0  8.0  13.0  45.0  BFD,
121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,62.0,,IRL 210978  L. GLYNN,Liam GLYNN  Liam GLYNN,IRL  Ballyholme Yacht Club,,,,,203.0,158.0,,,,,,,,,,,,,,,,,,,,,14.0,14.0,10.0,(45.0)  DNC,22.0,13.0,23.0  DPI,45.0  RET,17.0  DPI,,14.0  14.0  10.0  (45.0)  DNC  22.0  13.0  23.0  DPI  45.0  RET  17.0  DPI,
123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,63.0,,CRO 211884  M. NOVAK,Mario NOVAK  Mario NOVAK,CRO  JK SPLIT,,,,,206.0,161.0,,,,,,,,,,,,,,,,,,,,,5.0,16.0,32.0,26.0,20.0,21.0,(45.0)  BFD,21.0,20.0,,5.0  16.0  32.0  26.0  20.0  21.0  (45.0)  BFD  21.0  20.0,
125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,64.0,,CAN 206118  J. NORTON,Justin NORTON  Justin NORTON,CAN  Britannia Yacht Club,,,,,198.0,168.0,,,,,,,,,,,,,,,,,,,,,20.0,18.0,22.0,(30.0),21.0,24.0,19.0,22.0,22.0,,20.0  18.0  22.0  (30.0)  21.0  24.0  19.0  22.0  22.0,
127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,65.0,,CAN 200199  H. MACRAE,Hugh MACRAE  Hugh MACRAE,CAN  KYC,,,,,217.0,172.0,,,,,,,,,,,,,,,,,,,,,35.0,17.0,27.0,24.0,22.0,21.0,9.0,(45.0)  BFD,17.0,,35.0  17.0  27.0  24.0  22.0  21.0  9.0  (45.0)  BFD  17.0,
129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,66.0,,CZE 211236  J. HALOUZKA,Jakub HALOUZKA  HIPPOPOTAMUS  Jakub HALOUZKA  HIPPOPOTAMUS,CZE  MYK,,,,,210.6,179.6,,,,,,,,,,,,,,,,,,,,,15.0,4.0,24.0,20.6  RDG,29.0,(31.0),28.0,28.0,31.0,,15.0  4.0  24.0  20.6  RDG  29.0  (31.0)  28.0  28.0  31.0,
131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,67.0,,ISR 206262  O. GOLANI,Omer GOLANI  Omer GOLANI,ISR  Macabi Zvulun Ashdod,,,,,212.0,181.0,,,,,,,,,,,,,,,,,,,,,29.0,(31.0),27.0,18.0,25.0,22.0,19.0  DPI,17.0  DPI,24.0  DPI,,29.0  (31.0)  27.0  18.0  25.0  22.0  19.0  DPI  17.0  DPI  24.0  DPI,
133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,68.0,,ITA 203703  S. NALDI,Samuel NALDI  REGINA  Samuel NALDI  REGINA,ITA  FVM,,,,,215.0,183.0,,,,,,,,,,,,,,,,,,,,,17.0,(32.0),31.0,27.0,32.0,28.0,12.0,15.0,21.0,,17.0  (32.0)  31.0  27.0  32.0  28.0  12.0  15.0  21.0,
135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,69.0,,SWE 210197  E. LINDÉN,Erik LINDÉN  Erik LINDÉN,SWE  KSSSKungliga svenska segelsällskapet,,,,,235.0,190.0,,,,,,,,,,,,,,,,,,,,,12.0,42.0,21.0,19.0,28.0,19.0,23.0,26.0,(45.0)  BFD,,12.0  42.0  21.0  19.0  28.0  19.0  23.0  26.0  (45.0)  BFD,
137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,70.0,,CZE 195103  S. NOVOTNY,Vaclav NOVOTNY  Stepan NOVOTNY,CZE  jk cheb,,,,,239.0,193.0,,,,,,,,,,,,,,,,,,,,,18.0,(46.0)  BFD,29.0,32.0,26.0,24.0,29.0,20.0,15.0,,18.0  (46.0)  BFD  29.0  32.0  26.0  24.0  29.0  20.0  15.0,
139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,71.0,,CHN 120126  L. XIAOJING,Li XIAOJING  Jing  Li XIAOJING  Jing,CHN  Jiangsu Sailing Team,,,,,242.0,197.0,,,,,,,,,,,,,,,,,,,,,28.0,20.0,9.0,20.0,(45.0)  DNC,45.0  DNC,18.0  DPI,12.0  DPI,45.0  DNC,,28.0  20.0  9.0  20.0  (45.0)  DNC  45.0  DNC  18.0  DPI  12.0  DPI  45.0  DNC,
141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,72.0,,IND 203055  U. DUTTA,DUTTA Upamanyu  Upamanyu DUTTA,IND  Royal Bombay Yacht Club,,,,,242.0,197.0,,,,,,,,,,,,,,,,,,,,,30.0,12.0,26.0,(45.0)  DNC,28.0,25.0,25.0  DPI,24.0  DPI,27.0  DPI,,30.0  12.0  26.0  (45.0)  DNC  28.0  25.0  25.0  DPI  24.0  DPI  27.0  DPI,
143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,73.0,,GBR 208375  J. FARREN-PRICE,Jacob FARREN-PRICE  Blueprint  Jacob FARREN-PRICE  Blueprint,GBR  Chew Valley SC,,,,,243.0,198.0,,,,,,,,,,,,,,,,,,,,,12.0,25.0,(45.0)  UFD,25.0,27.0,25.0,15.0,24.0,45.0  DNC,,12.0  25.0  (45.0)  UFD  25.0  27.0  25.0  15.0  24.0  45.0  DNC,
145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,74.0,,GRE 189261  K.STAMATIOU-MERAKL,Konstantinos STAMATIOU-MERAKLIS  Konstantinos STAMATIOU-MERAKLIS,GRE  Hellenic Nautical Club of Greeks from Egypt,,,,,243.0,198.0,,,,,,,,,,,,,,,,,,,,,25.0,34.0,23.0,23.0,27.0,17.0,30.0,(45.0)  BFD,19.0,,25.0  34.0  23.0  23.0  27.0  17.0  30.0  (45.0)  BFD  19.0,
147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,75.0,,IND 212161  G. DALIO,Gurjeet DALIO  tahli  Gurjeet DALIO  tahli,IND  AYN Mumbai,,,,,244.0,209.0,,,,,,,,,,,,,,,,,,,,,23.0,(35.0),27.0,24.0,32.0,17.0,31.0,27.0,28.0,,23.0  (35.0)  27.0  24.0  32.0  17.0  31.0  27.0  28.0,
149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,76.0,,FIN 211411  A. TAPPER,TAPPER Aleksi  Aleksi TAPPER,FIN  NJK,,,,,256.0,211.0,,,,,,,,,,,,,,,,,,,,,22.0,22.0,24.0,29.0,23.0,21.0,(45.0)  BFD,45.0  BFD,25.0,,22.0  22.0  24.0  29.0  23.0  21.0  (45.0)  BFD  45.0  BFD  25.0,
151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,77.0,,HKG 171979  BEZY N.,BEZY Nicholas  Jedi Shredder  BEZY Nicholas  Jedi Shredder,HKG  J Asia,,,,,257.0,212.0,,,,,,,,,,,,,,,,,,,,,10.0,1.0,33.0,28.0,36.0,29.0,(45.0)  BFD,45.0  BFD,30.0,,10.0  1.0  33.0  28.0  36.0  29.0  (45.0)  BFD  45.0  BFD  30.0,
153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,78.0,,SWE 211279  E. GIPPERTH,Edvin GIPPERTH  Långsam  Edvin GIPPERTH  Långsam,SWE  GKSS,,,,,257.0,212.0,,,,,,,,,,,,,,,,,,,,,26.0,11.0,18.0,25.0,18.0,(45.0)  DNC,45.0  BFD,45.0  BFD,24.0,,26.0  11.0  18.0  25.0  18.0  (45.0)  DNC  45.0  BFD  45.0  BFD  24.0,
155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,79.0,,GBR 173611  J. WOODLEY,Joe WOODLEY  Printblue  Joe WOODLEY  Printblue,GBR  Burghfield,,,,,263.0,218.0,,,,,,,,,,,,,,,,,,,,,11.0,20.0,24.0,31.0,29.0,25.0,(45.0)  BFD,33.0,45.0  BFD,,11.0  20.0  24.0  31.0  29.0  25.0  (45.0)  BFD  33.0  45.0  BFD,
157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,80.0,,FIN 203066  A. AHVONEN,Aarni AHVONEN  Aarni AHVONEN,FIN  NJK,,,,,264.0,218.0,,,,,,,,,,,,,,,,,,,,,24.0,(46.0)  DNC,28.0,27.0,25.0,30.0,27.0,30.0,27.0,,24.0  (46.0)  DNC  28.0  27.0  25.0  30.0  27.0  30.0  27.0,
159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,81.0,,RUS 197488  K. EVFIMEVSKII,Kirill EVFIMEVSKII  Kirill EVFIMEVSKII,RUS  Anapa sailing club,,,,,265.0,220.0,,,,,,,,,,,,,,,,,,,,,23.0,37.0,23.0,20.0,20.0,26.0,26.0,(45.0)  BFD,45.0  BFD,,23.0  37.0  23.0  20.0  20.0  26.0  26.0  (45.0)  BFD  45.0  BFD,
161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,82.0,,FRA 206373  A. BARRUE,Arthur BARRUE  Arthur BARRUE,FRA  Coych,,,,,268.0,223.0,,,,,,,,,,,,,,,,,,,,,23.0,25.0,22.0,22.0,21.0,20.0,(45.0)  BFD,45.0  DNC,45.0  DNC,,23.0  25.0  22.0  22.0  21.0  20.0  (45.0)  BFD  45.0  DNC  45.0  DNC,
163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164,83.0,,ESP 208456  M. PLOMER QUIROGA,Mario PLOMER QUIROGA  Mario PLOMER QUIROGA,ESP  CVPAndratx,,,,,272.0,227.0,,,,,,,,,,,,,,,,,,,,,32.0,13.0,25.0,33.0,33.0,28.0,32.0,31.0,(45.0)  DNC,,32.0  13.0  25.0  33.0  33.0  28.0  32.0  31.0  (45.0)  DNC,
165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166,84.0,,UKR 172010  I. ZHUKALIN,ivan ZHUKFLIN  SHVSM  Ivan ZHUKALIN  SHVSM,UKR  1.SSCSK1. Segel- und Surf-Club,,,,,279.0,234.0,,,,,,,,,,,,,,,,,,,,,31.0,32.0,30.0,21.0,27.0,23.0,(45.0)  BFD,25.0,45.0  BFD,,31.0  32.0  30.0  21.0  27.0  23.0  (45.0)  BFD  25.0  45.0  BFD,
167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
168,85.0,,CZE 210897  M. STEINER,Michal STEINER  Michal STEINER,CZE  YC Vysoke Myto,,,,,281.0,236.0,,,,,,,,,,,,,,,,,,,,,21.0,5.0,36.0,33.0,35.0,(45.0)  DNC,45.0  BFD,32.0,29.0,,21.0  5.0  36.0  33.0  35.0  (45.0)  DNC  45.0  BFD  32.0  29.0,
169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,86.0,,FRA 207564  T. SIMON,Thomas SIMON  Thomas SIMON,FRA  SRB,,,,,283.0,238.0,,,,,,,,,,,,,,,,,,,,,33.0,27.0,(45.0)  DNC,18.0,19.0,22.0,45.0  BFD,29.0,45.0  DNC,,33.0  27.0  (45.0)  DNC  18.0  19.0  22.0  45.0  BFD  29.0  45.0  DNC,
171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172,87.0,,HKG 209749  WILLIAMS G.,Gerald WILLIAMS  WILLIAMS Gerald,HKG  J Asia,,,,,306.0,260.0,,,,,,,,,,,,,,,,,,,,,10.0,(46.0)  DNC,23.0,23.0,24.0,45.0  DNC,45.0  DNC,45.0  DNC,45.0  DNC,,10.0  (46.0)  DNC  23.0  23.0  24.0  45.0  DNC  45.0  DNC  45.0  DNC  45.0  DNC,
173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
174,88.0,,CHN 216666  W. JIANAN,Wu JIANAN  Nine  Wu JIANAN  Nine,CHN  Jiangsu Sailing Team,,,,,311.0,266.0,,,,,,,,,,,,,,,,,,,,,8.0,16.0,17.0,(45.0)  DNC,45.0  DNC,45.0  DNC,45.0  DNC,45.0  DNC,45.0  DNC,,8.0  16.0  17.0  (45.0)  DNC  45.0  DNC  45.0  DNC  45.0  DNC  45.0  DNC  45.0  DNC,
175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176,89.0,,RUS 195737  D. TRETYAKOV,Dmitry TRETYAKOV  Dmitry TRETYAKOV,RUS  Sailing Academy,,,,,202.0,156.0,,,,,,,,,,,,,,,,,,,,,(46.0)  BFD,46.0  BFD,31.0,29.0,19.0,23.0,3.0,1.0,4.0,,(46.0)  BFD  46.0  BFD  31.0  29.0  19.0  23.0  3.0  1.0  4.0,
177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
178,90.0,,GER 210902  A. EBERT,EBERT Alexander  windbreaker2  Alexander EBERT  windbreaker2,GER  SGAMSeglergemeinschaft am Müggelsee e. V.,,,,,201.0,160.0,,,,,,,,,,,,,,,,,,,,,(41.0),33.0,30.0,30.0,35.0,26.0,2.0,2.0,2.0,,(41.0)  33.0  30.0  30.0  35.0  26.0  2.0  2.0  2.0,
179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180,91.0,,VEN 191939  A. LAGE,Andres LAGE  Andres LAGE,VEN  CNA,,,,,204.0,166.0,,,,,,,,,,,,,,,,,,,,,(38.0),36.0,34.0,31.0,26.0,27.0,8.0,3.0,1.0,,(38.0)  36.0  34.0  31.0  26.0  27.0  8.0  3.0  1.0,
181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
182,92.0,,EST 193552  G. HAUD,HAUD Georg  Georg HAUD,EST  ROPK,,,,,212.0,173.0,,,,,,,,,,,,,,,,,,,,,19.0,(39.0),34.0,32.0,34.0,34.0,7.0,10.0,3.0,,19.0  (39.0)  34.0  32.0  34.0  34.0  7.0  10.0  3.0,
183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
184,93.0,,IND 212160  V. SARAVANAN,vishnu SARAVANAN  Laser  Vishnu SARAVANAN  Laser,IND  TSC India,,,,,230.0,191.0,,,,,,,,,,,,,,,,,,,,,30.0,28.0,(39.0),29.0,28.0,32.0,17.0,18.0,9.0,,30.0  28.0  (39.0)  29.0  28.0  32.0  17.0  18.0  9.0,
185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
186,94.0,,SWE 203884  E. ALNEBECK,Emil ALNEBECK  LIROS ROPES  Emil ALNEBECK  LIROS ROPES,SWE  GKSS,,,,,238.0,193.0,,,,,,,,,,,,,,,,,,,,,21.0,31.0,38.0,36.0,36.0,(45.0)  DNC,9.0,17.0,5.0,,21.0  31.0  38.0  36.0  36.0  (45.0)  DNC  9.0  17.0  5.0,
187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188,95.0,,RUS 171513  N. KLIMENTEV,Nikita KLIMENTEV  laser  Nikita KLIMENTEV  laser,RUS  Anapa,,,,,239.0,194.0,,,,,,,,,,,,,,,,,,,,,22.0,29.0,29.0,32.0,31.0,34.0,(45.0)  BFD,9.0  DPI,8.0  DPI,,22.0  29.0  29.0  32.0  31.0  34.0  (45.0)  BFD  9.0  DPI  8.0  DPI,
189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190,96.0,,CHN 219191  T. RUI,Tian RUI  Rui  Tian RUI  Rui,CHN  Jiangsu Sailing Team,,,,,242.0,197.0,,,,,,,,,,,,,,,,,,,,,27.0,28.0,29.0,25.0,29.0,35.0,(45.0)  BFD,17.0  DPI,7.0  DPI,,27.0  28.0  29.0  25.0  29.0  35.0  (45.0)  BFD  17.0  DPI  7.0  DPI,
191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
192,97.0,,SWE 201082  A. JOHNSSON,Albin JOHNSSON  Albin JOHNSSON,SWE  GKSS,,,,,248.0,203.0,,,,,,,,,,,,,,,,,,,,,27.0,30.0,32.0,26.0,31.0,30.0,(45.0)  BFD,19.0,8.0,,27.0  30.0  32.0  26.0  31.0  30.0  (45.0)  BFD  19.0  8.0,
193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
194,98.0,,BLR 207347  I. SVENTUKHOUSKI,Ivan SVENTUKHOUSKI  Laser Standard  Ivan SVENTUKHOUSKI  Laser Standard,BLR  RCOP,,,,,256.0,211.0,,,,,,,,,,,,,,,,,,,,,36.0,39.0,36.0,34.0,(45.0)  DNC,45.0  DNC,5.0,5.0,11.0,,36.0  39.0  36.0  34.0  (45.0)  DNC  45.0  DNC  5.0  5.0  11.0,
195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
196,99.0,,GER 207368  P. ROITSCH,Philipp ROITSCH  Philipp ROITSCH,GER  NRVNorddeutscher Regatta Verein,,,,,264.0,219.0,,,,,,,,,,,,,,,,,,,,,28.0,11.0,38.0,(45.0)  DNF,38.0,45.0  DNS,18.0,26.0,15.0,,28.0  11.0  38.0  (45.0)  DNF  38.0  45.0  DNS  18.0  26.0  15.0,
197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
198,100.0,,GBR 211408  J. AITKEN,AITKEN Jack  Jack AITKEN,GBR  RNCYC,,,,,272.0,227.0,,,,,,,,,,,,,,,,,,,,,19.0,23.0,37.0,31.0,36.0,32.0,4.0,(45.0)  DNC,45.0  DNC,,19.0  23.0  37.0  31.0  36.0  32.0  4.0  (45.0)  DNC  45.0  DNC,
199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,101.0,,CHN 200330  G. YUCHEN,Gu YUCHEN  Chen  Gu YUCHEN  Chen,CHN  Jiangsu Sailing Team,,,,,274.0,228.0,,,,,,,,,,,,,,,,,,,,,(46.0)  BFD,28.0,28.0,23.0,30.0,27.0,2.0  DPI,45.0  BFD,45.0  DNC,,(46.0)  BFD  28.0  28.0  23.0  30.0  27.0  2.0  DPI  45.0  BFD  45.0  DNC,
201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202,102.0,,NOR 207547  S. TVEIT,Sigurd TVEIT  Sigurd TVEIT,NOR  KNSKongelig Norsk Seilforening,,,,,275.0,230.0,,,,,,,,,,,,,,,,,,,,,33.0,38.0,41.0,27.0,25.0,(45.0)  DNC,11.0,45.0  BFD,10.0,,33.0  38.0  41.0  27.0  25.0  (45.0)  DNC  11.0  45.0  BFD  10.0,
203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
204,103.0,,CZE 209771  J. HALOUZKA,JIRI HALOUZKA  Jiri HALOUZKA,CZE  MYK,,,,,276.0,231.0,,,,,,,,,,,,,,,,,,,,,14.0,27.0,39.0,38.0,34.0,30.0,21.0,28.0,(45.0)  DNC,,14.0  27.0  39.0  38.0  34.0  30.0  21.0  28.0  (45.0)  DNC,
205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
206,104.0,,IND 212162  G. NAIN,gitesh NAIN  Laser  Gitesh NAIN  Laser,IND  AYN Mumbai,,,,,279.0,233.0,,,,,,,,,,,,,,,,,,,,,(46.0)  BFD,40.0,31.0,37.0,30.0,24.0,45.0  BFD,14.0,12.0,,(46.0)  BFD  40.0  31.0  37.0  30.0  24.0  45.0  BFD  14.0  12.0,
207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
208,105.0,,LTU 193185  M. EIDUKEVICIUS,Marius EIDUKEVICIUS  193185  Marius EIDUKEVICIUS  193185,LTU  Bangputys,,,,,280.0,234.0,,,,,,,,,,,,,,,,,,,,,42.0,(46.0)  DNC,35.0,33.0,33.0,27.0,45.0  BFD,6.0,13.0,,42.0  (46.0)  DNC  35.0  33.0  33.0  27.0  45.0  BFD  6.0  13.0,
209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210,106.0,,GER 209429  N. STEENBUCK,Nico STEENBUCK  Nico STEENBUCK,GER  SCSZSegelclub Salzgitter e. V.,,,,,280.0,235.0,,,,,,,,,,,,,,,,,,,,,15.0,32.0,39.0,34.0,33.0,33.0,(45.0)  BFD,4.0,45.0  BFD,,15.0  32.0  39.0  34.0  33.0  33.0  (45.0)  BFD  4.0  45.0  BFD,
211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
212,107.0,,GER 193218  N. HEUWINKEL,Nick HEUWINKEL  Tea Man (◕‿◕)  Nick HEUWINKEL  Tea Man (◕‿◕),GER  SC MASegel-Club Mardorf e. V.,,,,,284.0,238.0,,,,,,,,,,,,,,,,,,,,,(46.0)  BFD,25.0,35.0,45.0  DNF,37.0,36.0,6.0,9.0,45.0  BFD,,(46.0)  BFD  25.0  35.0  45.0  DNF  37.0  36.0  6.0  9.0  45.0  BFD,
213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
214,108.0,,POL 208654  T. LOBERT,Tomasz LOBERT  Tomasz LOBERT,POL  Laser Team Poland,,,,,284.0,239.0,,,,,,,,,,,,,,,,,,,,,27.0,29.0,28.0,37.0,30.0,31.0,12.0,(45.0)  BFD,45.0  BFD,,27.0  29.0  28.0  37.0  30.0  31.0  12.0  (45.0)  BFD  45.0  BFD,
215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
216,109.0,,EST 212230  M. ARUJA,ARUJA Martin  Martin ARUJA,EST  ROPK,,,,,285.0,240.0,,,,,,,,,,,,,,,,,,,,,41.0,37.0,25.0,28.0,26.0,31.0,(45.0)  BFD,7.0,45.0  BFD,,41.0  37.0  25.0  28.0  26.0  31.0  (45.0)  BFD  7.0  45.0  BFD,
217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
218,110.0,,POL 198205  K. MAZUREK,Kacper MAZUREK  Kacper MAZUREK,POL  PZŻ,,,,,287.0,242.0,,,,,,,,,,,,,,,,,,,,,39.0,36.0,41.0,35.0,(45.0)  DNC,45.0  DNC,15.0,12.0,19.0,,39.0  36.0  41.0  35.0  (45.0)  DNC  45.0  DNC  15.0  12.0  19.0,
219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
220,111.0,,POL 188953  K. STANISLAWSKI,?1 ?1  Kacper STANISLAWSKI,POL  PZŻ,,,,,287.0,242.0,,,,,,,,,,,,,,,,,,,,,29.0,35.0,40.0,(45.0)  DNF,45.0  DNC,45.0  DNC,14.0,20.0,14.0,,29.0  35.0  40.0  (45.0)  DNF  45.0  DNC  45.0  DNC  14.0  20.0  14.0,
221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
