,Nr,Bow#,Sail Number,Unnamed: 3,Team  Boat Name,Club,Boat Type,Hdcp.,CDL,T,N,Sailed Time,Sailed Time.1,Sailed Time.2,Sailed Time.3,Sailed Time.4,Sailed Time.5,Sailed Time.6,Sailed Time.7,Sailed Time.8,Sailed Time.9,Calculated Time,Calculated Time.1,Calculated Time.2,Calculated Time.3,Calculated Time.4,Calculated Time.5,Calculated Time.6,Calculated Time.7,Calculated Time.8,Calculated Time.9,Q1,Q2,Q3,Q4,Q5,Q6,F1,F2,F3,M1,Q1Q2Q3Q4Q5Q6F1F2F3M1,Unnamed: 42
21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,12.0,,GBR 209493  S. WHALEY,Sam WHALEY  British Sailing Team  Sam WHALEY  British Sailing Team,GBR  Swanage SC,,,,,102.0,78.0,,,,,,,,,,,,,,,,,,,,,15.0,(24.0),12.0,4.0,7.0,1.0,11.0,18.0,10.0,,15.0  (24.0)  12.0  4.0  7.0  1.0  11.0  18.0  10.0,
23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,13.0,,FIN 202978  K. TAPPER,Kaarle TAPPER  Kaarle TAPPER,FIN  HSKhelsingfors segelklubb,,,,,127.0,82.0,,,,,,,,,,,,,,,,,,,,,29.0,14.0,2.0,2.0,12.0,8.0,14.0,1.0,(45.0)  BFD,,29.0  14.0  2.0  2.0  12.0  8.0  14.0  1.0  (45.0)  BFD,
25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,14.0,,HUN 212044  B. VADNAI,Benjamin VADNAI  Benjamin VADNAI,HUN  BYC,,,,,115.0,82.0,,,,,,,,,,,,,,,,,,,,,9.0,5.0,14.0,5.0,9.0,11.0,(33.0),16.0,13.0,,9.0  5.0  14.0  5.0  9.0  11.0  (33.0)  16.0  13.0,
27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,15.0,,NED 212650  D. BOS,Duko BOS  Wutru  Duko BOS  Wutru,NED  R.Z.V.,,,,,111.0,82.0,,,,,,,,,,,,,,,,,,,,,6.0,21.0,7.0,11.0,5.0,12.0,(29.0),8.0,12.0,,6.0  21.0  7.0  11.0  5.0  12.0  (29.0)  8.0  12.0,
29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,16.0,,TUR 172556  M. ÇAKıR,Mustafa ÇAKIR  LASER  Mustafa ÇAKıR  LASER,TUR  TYF,,,,,118.0,85.0,,,,,,,,,,,,,,,,,,,,,20.0,2.0,9.0,4.0,8.0,4.0,18.0,20.0,(33.0),,20.0  2.0  9.0  4.0  8.0  4.0  18.0  20.0  (33.0),
31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,17.0,,FRA 207614  L. QUEROUX,QUEROUX Loïc  Loïc QUEROUX,FRA  BNIG,,,,,116.0,86.0,,,,,,,,,,,,,,,,,,,,,6.0,20.0,5.0,7.0,10.0,6.0,27.0,5.0,(30.0),,6.0  20.0  5.0  7.0  10.0  6.0  27.0  5.0  (30.0),
33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,18.0,,MNE 208707  M. DUKIC,Milivoj DUKIC  NONAME  Milivoj DUKIC  NONAME,MNE  Jugole Grakalic,,,,,123.0,92.0,,,,,,,,,,,,,,,,,,,,,(31.0),21.0,13.0,6.0,3.0,10.0,8.0,14.0,17.0,,(31.0)  21.0  13.0  6.0  3.0  10.0  8.0  14.0  17.0,
35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,19.0,,FRA 209918  E. le PEN,Etienne LE PEN  Etienne le PEN,FRA  Sno Nantes,,,,,146.0,101.0,,,,,,,,,,,,,,,,,,,,,16.0,9.0,8.0,8.0,13.0,5.0,20.0,22.0,(45.0)  BFD,,16.0  9.0  8.0  8.0  13.0  5.0  20.0  22.0  (45.0)  BFD,
37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,20.0,,ITA 210210  M. BENINI,Marco BENINI  Marco BENINI,ITA  CC Aniene,,,,,135.0,102.0,,,,,,,,,,,,,,,,,,,,,1.0,3.0,11.0,16.0,16.0,3.0,28.0,(33.0),24.0,,1.0  3.0  11.0  16.0  16.0  3.0  28.0  (33.0)  24.0,
39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,21.0,,POR 212114  R.MEDEIROS SILVEIR,rui MEDEIROS SILVEIRA  Rui MEDEIROS SILVEIRA,POR  CNH,,,,,144.0,106.0,,,,,,,,,,,,,,,,,,,,,24.0,15.0,4.0,12.0,13.0,2.0,21.0,(38.0),15.0,,24.0  15.0  4.0  12.0  13.0  2.0  21.0  (38.0)  15.0,
41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
