,Pos,Nation,Sail Number,Name,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,Total,Net,QR1_yellow,QR2_yellow,QR3_blue,QR4_blue,FR5_gold,FR6_gold,FR7_gold,FR8_gold,FR9_gold,FR10_gold,FR11_gold,FR_medal,QR3_yellow,QR4_yellow,QR1_blue,QR2_blue,FR5_silver,FR6_silver,FR7_silver,FR8_silver,FR9_silver,FR10_silver
32,33,AUS,AUS 214418,Finn Alexander,19,(52)BFD,5,11,20,33,23,43,25,5,270,218,,,,,20,33,23,43,25,5,34,,5,11,19,52BFD,,,,,,
33,34,GBR,GBR 215379,Jack Cookson,35,13,21,14,39,(49),22,22,12,28,268,219,,,,,39,49,22,22,12,28,13,,21,14,35,13,,,,,,
34,35,GBR,GBR 212791,Michael Beckett,20,(52)BFD,10,27,25,12,6STP,12,35,52BFD,275,223,,,10,27,25,12,6STP,12,35,52BFD,24,,,,20,52BFD,,,,,,
35,36,ARG,ARG 211570,Agustin Vidal Incatasciato,25,(52)BFD,7,14,33,16,37,24,29,27,291,239,25,52BFD,7,14,33,16,37,24,29,27,27,,,,,,,,,,,
36,37,POL,POL 192583,Tadeusz Kubiak,33,21,16,15,19,(48),16,45,45,21,293,245,,,16,15,19,48,16,45,45,21,14,,,,33,21,,,,,,
37,38,GBR,GBR 201481,Jack Wetherell,11,7,24,40,16,4,33,46,39,(52)BFD,303,251,11,7,24,40,16,4,33,46,39,52BFD,31,,,,,,,,,,,
38,39,TUR,TUR 207480,Alp Rona Rodopman,18,(52)BFD,23,4,48,9,21,35,32,32,306,254,18,52BFD,,,48,9,21,35,32,32,32,,23,4,,,,,,,,
39,40,ISR,ISR 214931,Maor Ben Hrosh,32,16,1,47,(51),51,41,19,6,25,308,257,32,16,,,51,51,41,19,6,25,19,,1,47,,,,,,,,
40,41,GER,GER 211432,Nik Aaron Willim,11,11,(52)BFD,1,50,40,43,52BFD,1,22,311,259,,,,,50,40,43,52BFD,1,22,28,,52BFD,1,11,11,,,,,,
41,42,NZL,NZL 212259,Josh Armit,16,3,40,2,49,11,45,16,(51),29,311,260,16,3,40,2,49,11,45,16,51,29,49,,,,,,,,,,,
42,43,ITA,ITA 214150,Gianmarco Planchestainer,17,24,13,16,36,(47),30,39,11,39,307,260,17,24,,,36,47,30,39,11,39,35,,13,16,,,,,,,,
43,44,CHN,CHN 212277,Yulong Qiu,16,16,24,26,47,45,48,(52)BFD,9,30,331,279,,,,,47,45,48,52BFD,9,30,18,,24,26,16,16,,,,,,
44,45,IRL,IRL 210978,Liam Glynn,10,15,22,16,42,5,49,37,42,(52)BFD,335,283,10,15,22,16,42,5,49,37,42,52BFD,45,,,,,,,,,,,
45,46,ITA,ITA 215111,Marco Gallo,33,8,21,18,(44),42,7,36,38,37,328,284,33,8,21,18,44,42,7,36,38,37,44,,,,,,,,,,,
46,47,CAN,CAN 214917,Hugh Macrae,28,18,13,36,41,46,4,40,(47),38,354,307,28,18,13,36,41,46,4,40,47,38,43,,,,,,,,,,,
47,48,USA,USA 209071,Henry Marshall,32,(52)BFD,19,8,45,21,40,34,43,23,359,307,,,,,45,21,40,34,43,23,42,,19,8,32,52BFD,,,,,,
48,49,SWE,SWE 211567,Wilhelm Kark,27,10,31,21,35,14,50,(52)BFD,36,33,360,308,,,31,21,35,14,50,52BFD,36,33,51,,,,27,10,,,,,,
49,50,URU,URU 212833,Ignacio Rodriguez,24,17,12,22,30,39,47,30,44,(52)DNC,363,311,24,17,12,22,30,39,47,30,44,52DNC,46,,,,,,,,,,,
50,51,NED,NED 212968,Yuri Hummel,21,1,47,29,31,36,35,31,34,(52)BFD,367,315,,,47,29,31,36,35,31,34,52BFD,50,,,,21,1,,,,,,
51,52,CHI,CHI 211888,Clemente Seguel,21,(32),20,21,1,5,10,17,3,3,133,101,21,32,,,,,,,,,,,20,21,,,1,5,10,17,3,3
52,53,ITA,ITA 188983,Nicolo Villa,20,23,(33),19,2,8,30,6,1,20,162,129,20,23,,,,,,,,,,,33,19,,,2,8,30,6,1,20
53,54,CAN,CAN 208550,Matti Muru,(32.6)DPI,27.6DPI,30,24,25,17,1,5,20,2,184.2,151.6,32.6DPI,27.6DPI,30,24,,,,,,,,,,,,,25,17,1,5,20,2
54,55,GBR,GBR 214490,Daniel Whiteley,31,25,34,7,34,1,12,1,(44),14,203,159,,,34,7,,,,,,,,,,,31,25,34,1,12,1,44,14
55,56,BRA,BRA 204597,Joao Pedro Herrlein Souto de Oliveira,23,38,36,5,7,15,22,22,2,(51)BFD,221,170,23,38,36,5,,,,,,,,,,,,,7,15,22,22,2,51BFD
56,57,MEX,MEX 213173,Yanic Gentry,28,18,29,28,10,4,17,4,41,(51)BFD,230,179,,,29,28,,,,,,,,,,,28,18,10,4,17,4,41,51BFD
