Pos,Nation,Sail Number,Crew,Race Points
Pos,Nation,Sail Number,Crew,Race Points
2,HUN,HUN 213095,Benjamin Vadnai,2
4,TTO,TTO 184116,Andrew Lewis,4
6,IRL,IRL 210254,Finn Lynch,6
8,ESP,ESP 215311,Joaquin Blanco,8
10,HUN,HUN 213119,Jonatan Vadnai,10
12,NOR,NOR 214941,Hermann Tomasgaard,12
14,BEL,BEL 215347,Wannes Van Laer,14
16,CYP,CYP 212431,Pavlos Kontides,16
18,PER,PER 206115,Stefano Peschiera,18
20,POL,POL 215007,Tadeusz Kubiak,20
