Name,SailNum,Cty,QR1_yellow,QR1_blue,QR1_red,QR2_yellow,QR2_blue,QR2_red,QR3_yellow,QR3_blue,QR3_red,QR4_yellow,QR4_blue,QR4_red,QR5_yellow,QR5_blue,QR5_red,QR6_yellow,QR6_blue,QR6_red,FR7_gold,FR7_silver,FR7_bronze,FR8_gold,FR8_silver,FR8_bronze,FR9_gold,FR9_silver,FR9_bronze,FR10_gold,FR10_silver,FR10_bronze,FR11_gold,FR11_silver,FR11_bronze,FR12_gold,FR12_silver,FR12_bronze
Liam BRUCE,65,CAN,,36.0,,,36.0,,,,33.0,,,37.0,,,36.0,,,37.0,,,28.0,,,33.0,,,26.0,,,25.0,,,11.0,,,28.0
Justin NORTON,67,CAN,28.0,,,24.0,,,34.0,,,31.0,,,,,37.0,,,32.0,,,19.0,,,11.0,,,6.0,,,7.0,,,8.0,,,12.0
Matti MURU,69,CAN,,,33.0,,,33.0,,29.0,,,37.0,,38.0,,,31.0,,,,,16.0,,,26.0,,,29.0,,,19.0,,,26.0,,,5.0
Forrest WACHHOLZ,71,CAN,,31.0,,,32.0,,,36.0,,,36.0,,,,34.0,,,36.0,,,18.0,,,23.0,,,14.0,,,29.0,,,43.0,,,43.0
James JUHASZ,84,CAN,,33.0,,,39.0,,43.0,,,36.0,,,,,39.0,,,26.0,,,43.0,,,17.0,,,18.0,,,9.0,,,22.0,,,30.0
Clemente SEGUEL LACAMARA,60,CHI,,,,,,,,,,,,,,,,,,,,43.0,,,11.0,,,25.0,,,10.0,,,19.0,,,22.0,
Tonci STIPANOVIC,11,CRO,,1.0,,,2.0,,,13.0,,,2.0,,,,6.0,,,1.0,18.0,,,15.0,,,4.0,,,4.0,,,21.0,,,11.0,,
Filip JURISIC,17,CRO,,,,,,,,,,,,,,,,,,,17.0,,,32.0,,,16.0,,,24.0,,,12.0,,,7.0,,
Pavlos KONTIDES,5,CYP,,3.0,,,4.0,,,,6.0,,,13.0,12.0,,,5.0,,,27.0,,,43.0,,,17.0,,,5.0,,,13.0,,,8.0,,
Christian GULDBERG ROST,59,DEN,,2.0,,,29.0,,,,23.0,,,27.0,,,22.0,,,19.0,,12.0,,,32.0,,,12.0,,,31.0,,,30.0,,,31.0,
Georg Philip BUNK LAURITSEN,95,DEN,,,34.0,,,27.0,,,32.0,,,33.0,,35.0,,,39.0,,,,11.0,,,6.0,,,11.0,,,23.0,,,19.0,,,6.0
Enrique ARATHOON,30,ESA,19.0,,,16.0,,,,,15.0,,,5.0,,13.0,,,7.0,,19.0,,,34.0,,,27.0,,,27.0,,,29.0,,,15.0,,
Guillermo FLORES MARTIN,88,ESP,,,,,,,,,,,,,,,,,,,,,25.0,,,22.0,,,2.0,,,17.0,,,24.0,,,43.0
Karl-Martin RAMMO,26,EST,,28.0,,,25.0,,,,11.0,,,14.0,,17.0,,,6.0,,,1.0,,,14.0,,,15.0,,,3.0,,,2.0,,,9.0,
Martin ARUJA,102,EST,,39.0,,,40.0,,35.0,,,37.0,,,,37.0,,,36.0,,,,27.0,,,31.0,,,20.0,,,30.0,,,15.0,,,17.0
Kaarle TAPPER,33,FIN,,,13.0,,,3.0,17.0,,,15.0,,,,,7.0,,,5.0,20.0,,,9.0,,,32.0,,,29.0,,,36.0,,,32.0,,
Fredrik WESTMAN,91,FIN,33.0,,,36.0,,,,22.0,,,28.0,,,,35.0,,,31.0,,,13.0,,,16.0,,,7.0,,,12.0,,,23.0,,,13.0
Pietari AIRAKORPI,124,FIN,,41.0,,,33.0,,,,40.0,,,40.0,,,40.0,,,38.0,,,33.0,,,36.0,,,37.0,,,32.0,,,35.0,,,33.0
Jean Baptiste BERNAZ,4,FRA,,,1.0,,,7.0,,1.0,,,1.0,,,4.0,,,1.0,,43.0,,,1.0,,,3.0,,,32.0,,,1.0,,,21.0,,
Maxime MAZARD,42,FRA,4.0,,,8.0,,,,8.0,,,24.0,,36.0,,,23.0,,,,2.0,,,28.0,,,29.0,,,14.0,,,17.0,,,21.0,
Etienne LE PEN,62,FRA,,20.0,,,14.0,,23.0,,,32.0,,,,,26.0,,,23.0,,27.0,,,38.0,,,21.0,,,5.0,,,24.0,,,29.0,
Alexandre BOITE,70,FRA,,,14.0,,,16.0,,,19.0,,,43.0,16.0,,,28.0,,,,6.0,,,27.0,,,11.0,,,33.0,,,40.0,,,10.0,
Alexandre KOWALSKI,114,FRA,,37.0,,,30.0,,,,37.0,,,38.0,28.0,,,33.0,,,,,26.0,,,28.0,,,22.0,,,26.0,,,14.0,,,27.0
Elliot HANSON,9,GBR,,,2.0,,,8.0,,2.0,,,8.0,,,3.0,,,14.0,,3.0,,,2.0,,,12.0,,,10.0,,,16.0,,,19.0,,
Lorenzo Brando CHIAVARINI,16,GBR,,,6.0,,,13.0,,15.0,,,15.0,,,,5.0,,,13.0,34.0,,,24.0,,,7.0,,,3.0,,,22.0,,,33.0,,
Michael BECKETT,19,GBR,1.0,,,17.0,,,5.0,,,5.0,,,,,3.0,,,4.0,30.0,,,11.0,,,18.0,,,28.0,,,33.0,,,2.0,,
Nick THOMPSON,21,GBR,,,15.0,,,14.0,,6.0,,,4.0,,,5.0,,,8.0,,37.0,,,13.0,,,11.0,,,26.0,,,7.0,,,31.0,,
Sam WHALEY,66,GBR,26.0,,,28.0,,,,,31.0,,,29.0,,14.0,,,13.0,,,43.0,,,7.0,,,34.0,,,4.0,,,26.0,,,14.0,
Jacob FARREN-PRICE,96,GBR,,35.0,,,22.0,,,,34.0,,,34.0,,,32.0,,,27.0,,,12.0,,,24.0,,,16.0,,,8.0,,,28.0,,,10.0
Philipp BUHL,15,GER,,,4.0,,,1.0,,,1.0,,,1.0,1.0,,,2.0,,,2.0,,,3.0,,,5.0,,,6.0,,,10.0,,,4.0,,
Nik Aaron WILLIM,32,GER,,19.0,,,31.0,,11.0,,,23.0,,,14.0,,,37.0,,,,31.0,,,9.0,,,40.0,,,13.0,,,32.0,,,24.0,
Anastasios PANAGIOTIDIS,93,GRE,,29.0,,,20.0,,19.0,,,27.0,,,24.0,,,20.0,,,,43.0,,,23.0,,,13.0,,,36.0,,,33.0,,,43.0,
Juan MAEGLI,24,GUA,15.0,,,23.0,,,,10.0,,,14.0,,,,8.0,,,10.0,15.0,,,4.0,,,25.0,,,22.0,,,23.0,,,5.0,,
Nicholas BEZY,85,HKG,43.0,,,22.0,,,,34.0,,,16.0,,27.0,,,29.0,,,,23.0,,,25.0,,,8.0,,,19.0,,,8.0,,,43.0,
Jonatan VADNAI,23,HUN,,16.0,,,9.0,,,,10.0,,,15.0,,,13.0,,,7.0,33.0,,,27.0,,,30.0,,,41.0,,,19.0,,,36.0,,
Benjamin VADNAI,31,HUN,7.0,,,3.0,,,,,8.0,,,7.0,,,4.0,,,8.0,22.0,,,33.0,,,23.0,,,25.0,,,15.0,,,20.0,,
Upamanyu DUTTA,105,IND,,26.0,,,26.0,,,,26.0,,,30.0,37.0,,,36.0,,,,,30.0,,,15.0,,,23.0,,,21.0,,,12.0,,,24.0
Finn LYNCH,14,IRL,,14.0,,,3.0,,,,14.0,,,4.0,,7.0,,,20.0,,36.0,,,30.0,,,19.0,,,1.0,,,28.0,,,43.0,,
Ewan MCMAHON,61,IRL,22.0,,,43.0,,,27.0,,,21.0,,,,,9.0,,,21.0,,43.0,,,21.0,,,28.0,,,40.0,,,1.0,,,23.0,
Liam GLYNN,73,IRL,34.0,,,26.0,,,21.0,,,25.0,,,,16.0,,,19.0,,,4.0,,,12.0,,,39.0,,,30.0,,,38.0,,,43.0,
Giovanni COCCOLUTO,13,ITA,5.0,,,10.0,,,7.0,,,20.0,,,9.0,,,13.0,,,23.0,,,28.0,,,37.0,,,31.0,,,34.0,,,27.0,,
Marco GALLO,40,ITA,,,7.0,,,15.0,,24.0,,,20.0,,19.0,,,3.0,,,,17.0,,,18.0,,,38.0,,,35.0,,,35.0,,,20.0,
Gianmarco PLANCHESTAINER,41,ITA,,12.0,,,8.0,,18.0,,,12.0,,,,23.0,,,12.0,,39.0,,,39.0,,,35.0,,,40.0,,,30.0,,,35.0,,
