Name,SailNum,Cty,FinishPlace,Points
Yigit Yalcin CITAK,109,TUR,1,1
Gustavo CORREA NASCIMENTO,113,BRA,2,2
Stijn PAARDEKOOPER,94,NED,3,3
Wilhelm KARK,52,SWE,4,4
Kazumasa SEGAWA,57,JPN,5,5
Georg Philip BUNK LAURITSEN,95,DEN,6,6
Arthit Mikhail ROMANYK,99,THA,7,7
Luke RUITENBERG,47,CAN,8,8
Giacomo MUSONE,72,ITA,9,9
Leo BOUCHER,86,USA,10,10
Justin NORTON,67,CAN,11,11
Mark WONG,97,SGP,12,12
Yuichiro KITAMURA,92,JPN,13,13
Samuel KING,100,AUS,14,14
Upamanyu DUTTA,105,IND,15,15
Fredrik WESTMAN,91,FIN,16,16
James JUHASZ,84,CAN,17,17
Ao HIGUCHI,107,JPN,18,18
James STEWART,101,AUS,19,19
Eroni LEILUA,116,SAM,20,20
Luke DEEGAN,98,NZL,21,21
Guillermo FLORES MARTIN,88,ESP,22,22
Forrest WACHHOLZ,71,CAN,23,23
Jacob FARREN-PRICE,96,GBR,24,24
Campbell PATTON,115,BER,25,25
Matti MURU,69,CAN,26,26
William SARGENT,110,AUS,27,27
Alexandre KOWALSKI,114,FRA,29,28
Campbell STEWART,121,AUS,30,29
Thad LETTSOME,103,IVB,31,30
Martin ARUJA,102,EST,32,31
Stephen GUNTHER,122,AUS,33,32
Liam BRUCE,65,CAN,34,33
Connor SHAW,120,AUS,35,34
Seung KIM,123,KOR,36,35
Pietari AIRAKORPI,124,FIN,37,36
Teariki NUMA,119,PNG,38,37
Agustin VIDAL INCATASCIATO,51,ARG,-,43
Ken FUJIMOTO,118,JPN,-,43
Andrew ROBINSON,126,AUS,28,43
Thomas MCEVOY,125,AUS,39,43
