Name,SailNum,Cty,FinishPlace,Points
Kazumasa SEGAWA,57,JPN,1,1
Wilhelm KARK,52,SWE,2,2
Samuel KING,100,AUS,4,3
Ao HIGUCHI,107,JPN,5,4
Stijn PAARDEKOOPER,94,NED,6,5
Giacomo MUSONE,72,ITA,7,6
Justin NORTON,67,CAN,8,7
Jacob FARREN-PRICE,96,GBR,10,8
James JUHASZ,84,CAN,11,9
Luke DEEGAN,98,NZL,12,10
Yuichiro KITAMURA,92,JPN,13,11
Fredrik WESTMAN,91,FIN,14,12
Yigit Yalcin CITAK,109,TUR,15,13
Seung KIM,123,KOR,16,14
James STEWART,101,AUS,17,15
Leo BOUCHER,86,USA,18,16
Guillermo FLORES MARTIN,88,ESP,19,17
Andrew ROBINSON,126,AUS,22,18
Matti MURU,69,CAN,23,19
Campbell STEWART,121,AUS,24,20
Upamanyu DUTTA,105,IND,25,21
William SARGENT,110,AUS,26,22
Georg Philip BUNK LAURITSEN,95,DEN,27,23
Luke RUITENBERG,47,CAN,28,24
Liam BRUCE,65,CAN,30,25
Alexandre KOWALSKI,114,FRA,31,26
Ken FUJIMOTO,118,JPN,33,27
Connor SHAW,120,AUS,34,28
Forrest WACHHOLZ,71,CAN,35,29
Martin ARUJA,102,EST,36,30
Teariki NUMA,119,PNG,38,31
Pietari AIRAKORPI,124,FIN,39,32
Thomas MCEVOY,125,AUS,40,33
Agustin VIDAL INCATASCIATO,51,ARG,-,43
Arthit Mikhail ROMANYK,99,THA,3,43
Mark WONG,97,SGP,9,43
Campbell PATTON,115,BER,20,43
Gustavo CORREA NASCIMENTO,113,BRA,21,43
Thad LETTSOME,103,IVB,29,43
Eroni LEILUA,116,SAM,32,43
Stephen GUNTHER,122,AUS,37,43
