,Nation,Sail Number,Name,R1,R2,R3,R4,R5,R6,R7,Total,Net,QR1_blue,QR1_yellow,QR2_blue,QR2_yellow,QR3_yellow,QR4_yellow,QR5_yellow,QR6_yellow,QR3_blue,QR4_blue,QR5_blue,QR6_blue,FR7_gold,FR_medal,FR7_silver,FR8_silver,,
40,EST,EST 203724,Karl-Martin Rammo,(57)UFD,5,22,13,5,32,50,184,127,,57UFD,,5,22,13,,,,,5,32,50,,,,127,FALSE
41,ITA,ITA 202261,Gianmarco Planchestainer,29,32,(34),25,28,1,13,162,128,29,,32,,,,28,1,34,25,,,13,,,,162,TRUE
42,POL,POL 214117,Jakub Rodziewicz,33,10,24,28,23,10,(44),172,128,33,,10,,,,23,10,24,28,,,44,,,,172,TRUE
43,DEN,DEN 209257,Christian Guldberg Rost,31,9,46,18,23,5,(51),183,132,31,,9,,,,,,46,18,23,5,51,,,,183,TRUE
44,ECU,ECU 188778,Matias Dyck,15,20,29,33,24,11,(43),175,132,15,,20,,,,24,11,29,33,,,43,,,,175,TRUE
45,ESA,ESA 180192,Enrique Jose Arathoon Pacas,20,33,4,43,7,27,(57)DNF,191,134,,20,,33,4,43,7,27,,,,,57DNF,,,,134,FALSE
46,ARG,ARG 211570,Agustin Vidal Incatasciato,32,(39),27,22,11,24,19,174,135,32,,39,,,,,,27,22,11,24,19,,,,174,TRUE
47,FIN,FIN 214111,Kaarle Tapper,16,9,9,9,(57)DNC,57DNC,36,193,136,,16,,9,9,9,,,,,57DNC,57DNC,36,,,,79,FALSE
48,CAN,CAN 211542,Robert Davis,23,27,32,15,20,21,(38),176,138,23,,27,,,,,,32,15,20,21,38,,,,176,TRUE
49,GRE,GRE 212529,Dimitris Papadimitriou,(57)UFD,23,17,22,21,19,39,198,141,,57UFD,,23,17,22,,,,,21,19,39,,,,141,FALSE
50,GRE,GRE 212527,Adonis Bougiouris,(44),12,40,11,25,12,42,186,142,44,,12,,,,25,12,40,11,,,42,,,,186,TRUE
51,ITA,ITA 188983,Nicolo Villa,19,14,35,26,19,31,(46),190,144,,19,,14,35,26,19,31,,,,,46,,,,190,TRUE
52,AUS,AUS 202706,Richard Maher,(48),10,48,10,3,28,47,194,146,,48,,10,48,10,,,,,3,28,47,,,,194,TRUE
53,MON,MON 199212,Jeremy Moutout,34,7,26,34,8,39,(57)DNC,205,148,,34,,7,26,34,8,39,,,,,57DNC,,,,148,FALSE
54,RUS,RUS 213593,Kirill Evfimyevskiy,26,(41),14,29,13,26,41,190,149,,26,,41,14,29,13,26,,,,,41,,,,190,TRUE
