Pos,Nation,Sail Number,Crew,Race Points
Pos,Nation,Sail Number,Crew,Race Points
1,ITA,ITA 213176,Matteo Guardigli,1
2,CYP,CYP 212431,Pavlos Kontides,2
3,ARG,ARG 213387,Francisco Guaragna Rigonat,3
4,CRO,CRO 215838,Filip Jurisic,4
5,ISR,ISR 211955,Sagie Glantz,5
6,BRN,BRN 212489,Abdulla Janahi,6
7,ESA,ESA 180192,Enrique Jose Arathoon Pacas,7
8,MON,MON 199212,Jeremy Moutout,8
9,MNE,MNE 215840,Milivoj Dukic,9
10,HUN,HUN 213119,Jonatan Vadnai,10
11,CZE,CZE 215495,Viktor Teply,11
12,SWE,SWE 215344,Jesper Stalheim,12
13,RUS,RUS 213593,Kirill Evfimyevskiy,13
14,FIN,FIN 211411,Aleksi Tapper,14
15,RUS,RUS 213011,Sergey Komissarov,15
16,TTO,TTO 184116,Andrew Lewis,16
17,BEL,BEL 210470,William De Smet,17
18,BEL,BEL 215347,Wannes Van Laer,18
19,ITA,ITA 188983,Nicolo Villa,19
20,CAN,CAN 214917,Hugh Macrae,20
21,EST,EST 212229,Georg Haud,21
22,NED,NED 171111,Niels Broekhuizen,22
23,POL,POL 214117,Jakub Rodziewicz,23
24,ECU,ECU 188778,Matias Dyck,24
25,GRE,GRE 212527,Adonis Bougiouris,25
26,ESP,ESP 211710,Joel Rodriguez,26
27,HUN,HUN 213095,Benjamin Vadnai,27
28,ITA,ITA 202261,Gianmarco Planchestainer,28
29,ESP,ESP 196717,Pere Ponseti Mesquida,29
30,AUS,AUS 215612,Luke Elliott,30
31,ESP,ESP 215314,Pep Cazador Ribera,31
32,ITA,ITA 211393,Dariush Ghasemzadeh Esfahani,32
33,TUR,TUR 207480,Alp Rona Rodopman,33
34,POR,POR 212213,Santiago Sampaio,34
35,GBR,GBR 213719,Sam Whaley,35
36,CZE,CZE 211236,Jakub Halouzka,36
37,CAN,CAN 214514,Luke Ruitenberg,37
38,ITA,ITA 210415,Luca Lorenzoni,38
39,USA,USA 199796,Malcolm Lamphere,39
40,GBR,GBR 214490,Daniel Whiteley,40
41,CZE,CZE 195103,Stepan Novotny,41
42,MEX,MEX 181615,Juan Ignacio Perez,42
43,CRO,CRO 215835,Tonci Stipanovic,43
44,GRE,GRE 212504,ANASTASIOS PANAGIOTIDIS,44
45,ESP,ESP 213859,Mario Plomer Quiroga,45
46,ITA,ITA 214149,Giovanni Coccoluto,46
47,HKG,HKG 171979,Hong Kong,47
48,ESP,ESP 213123,Jesus Rogel Sanchez,48
49,GBR,GBR 211726,Benjamin Flowerr,49
50,ITA,ITA 212295,Andrea Chiappe,50
51,ISR,ISR 214931,Maor Ben Hrosh,51
52,BUL,BUL 213486,Ivo Todorov,52
53,MNE,MNE 213370,Ilija Markovic,53
54,ITA,ITA 211062,Pietro De Frenza,54
55,IRL,IRL 210978,Liam Glynn,55
