Pos,Nation,Sail Number,Crew,Race Points
Pos,Nation,Sail Number,Crew,Race Points
1,SGP,SGP 215267,Ryan Lo,1
2,ITA,ITA 209114,Giovanni Sanfilippo,2
3,GRE,GRE 212504,ANASTASIOS PANAGIOTIDIS,3
4,POR,POR 212213,Santiago Sampaio,4
5,URU,URU 216133,Ignacio Rodriguez,5
6,ESP,ESP 213859,Mario Plomer Quiroga,6
7,CAN,CAN 214917,Hugh Macrae,7
8,ESP,ESP 209164,Carlos Rosello,8
9,FIN,FIN 215436,Nooa Henrik Laukkanen,9
10,TUR,TUR 191719,Berkay Abay,10
11,CZE,CZE 211236,Jakub Halouzka,11
12,SUI,SUI 215485,Nicolas Rolaz,12
13,CHI,CHI 211888,Clemente Seguel,13
14,MNE,MNE 215840,Milivoj Dukic,14
15,MNE,MNE 213370,Ilija Markovic,15
16,USA,USA 209071,Henry Marshall,16
17,GBR,GBR 214490,Daniel Whiteley,17
18,ITA,ITA 213174,Giacomo Musone,18
19,ESP,ESP 212175,Ramiro Foguet Rojas,19
20,ITA,ITA 210415,Luca Lorenzoni,20
21,SWE,SWE 211276,Emil Bengtson,21
22,USA,USA 211822,Paul Didham,22
23,CHN,CHN 211225,Yang Yang,23
24,USA,USA 180521,Marek Zaleski,24
25,ESP,ESP 215314,Pep Cazador Ribera,25
26,SGP,SGP 199094,Mark Wong,26
27,ITA,ITA 213017,Rodolfo Silvestrini,27
28,ITA,ITA 213752,Ciro Basile,28
29,GBR,GBR 213719,Sam Whaley,29
30,CZE,CZE 195103,Stepan Novotny,30
31,USA,USA 199796,Malcolm Lamphere,31
32,ESP,ESP 211710,Joel Rodriguez,32
33,GRE,GRE 210400,Marios Karadimas,33
34,ITA,ITA 212295,Andrea Chiappe,34
35,ESP,ESP 213498,Manuel barber Ponciano,35
36,JPN,JPN 211154,Yuichiro Kitamura,36
37,JPN,JPN 204996,Yoshihiro SUZUKI,37
38,IRL,IRL 210978,Liam Glynn,38
39,MEX,MEX 181615,Juan Ignacio Perez,39
40,HKG,HKG 171979,Hong Kong,40
41,ITA,ITA 211393,Dariush Ghasemzadeh Esfahani,41
42,ARG,ARG 199218,Juan Alberto Casalone,42
43,EST,EST 212230,Martin Aruja,43
44,ITA,ITA 211062,Pietro De Frenza,44
45,BUL,BUL 213486,Ivo Todorov,45
46,CAN,CAN 212612,Justin Norton,46
47,GBR,GBR 211726,Benjamin Flowerr,47
48,GBR,GBR 211414,Cameron Tweedle,48
49,CAN,CAN 214514,Luke Ruitenberg,49
50,ITA,ITA 207626,AMOS DI BENEDETTO,50
51,EST,EST 212229,Georg Haud,51
56,ESP,ESP 196717,Pere Ponseti Mesquida,56DNF
56,ITA,ITA 213176,Matteo Guardigli,56DNF
56,ISR,ISR 202121,Omer Golani,56RET
56,ITA,ITA 215275,Andrea Ribolzi,56DNF
