Pos,Nation,Sail Number,Crew,Race Points
Pos,Nation,Sail Number,Crew,Race Points
1,HUN,HUN 213095,Benjamin Vadnai,1
2,TTO,TTO 184116,Andrew Lewis,2
3,JPN,JPN 208000,Kazumasa Segawa,3
4,JPN,JPN 215099,Kenji Nanri,4
5,EST,EST 203724,Karl-Martin Rammo,5
6,PER,PER 206115,Stefano Peschiera,6
7,MON,MON 199212,Jeremy Moutout,7
8,ISR,ISR 214931,Maor Ben Hrosh,8
9,FIN,FIN 214111,Kaarle Tapper,9
10,AUS,AUS 202706,Richard Maher,10
11,POL,POL 215007,Tadeusz Kubiak,11
12,URU,URU 216133,Ignacio Rodriguez,12
13,ESP,ESP 213123,Jesus Rogel Sanchez,13
14,ITA,ITA 188983,Nicolo Villa,14
15,ESP,ESP 196717,Pere Ponseti Mesquida,15
16,NOR,NOR 214941,Hermann Tomasgaard,16
17,HUN,HUN 213119,Jonatan Vadnai,17
18,MAS,MAS 214989,Khairulnizam Mohd Afendy,18
19,CHN,CHN 211225,Yang Yang,19
20,JPN,JPN 204996,Yoshihiro SUZUKI,20
21,MEX,MEX 213173,Yanic Gentry,21
22,ESP,ESP 211710,Joel Rodriguez,22
23,GRE,GRE 212529,Dimitris Papadimitriou,23
24,USA,USA 209071,Henry Marshall,24
25,SWE,SWE 211276,Emil Bengtson,25
26,MNE,MNE 213370,Ilija Markovic,26
27,CHN,CHN 211127,Zili Wang,27
28,NED,NED 212968,Yuri Hummel,28
29,FIN,FIN 211411,Aleksi Tapper,29
30,SWE,SWE 215344,Jesper Stalheim,30
31,USA,USA 199796,Malcolm Lamphere,31
32,MNE,MNE 215840,Milivoj Dukic,32
33,ESA,ESA 180192,Enrique Jose Arathoon Pacas,33
34,CAN,CAN 212612,Justin Norton,34
35,ITA,ITA 213174,Giacomo Musone,35
36,TUR,TUR 191719,Berkay Abay,36
37,SWE,SWE 216181,Wilhelm Kark,37
38,JPN,JPN 211154,Yuichiro Kitamura,38
39,GBR,GBR 213719,Sam Whaley,39
40,ITA,ITA 213752,Ciro Basile,40
41,RUS,RUS 213593,Kirill Evfimyevskiy,41
42,GBR,GBR 212950,Joseph Mullan,42
43,ISR,ISR 202121,Omer Golani,43
44,USA,USA 211822,Paul Didham,44
45,EST,EST 212230,Martin Aruja,45
46,ITA,ITA 212295,Andrea Chiappe,46
47,ARG,ARG 199218,Juan Alberto Casalone,47
48,ITA,ITA 215275,Andrea Ribolzi,48
49,HKG,HKG 171979,Hong Kong,49
50,GRE,GRE 210400,Marios Karadimas,50
51,ITA,ITA 213176,Matteo Guardigli,51
52,ITA,ITA 211393,Dariush Ghasemzadeh Esfahani,52
53,GBR,GBR 211414,Cameron Tweedle,53
57,ITA,ITA 215111,Marco Gallo,57DSQ
57,RUS,RUS 213011,Sergey Komissarov,57DNC
