Name,SailNum,Cty,FinishPlace,Points
Jean Baptiste BERNAZ,4,FRA,1,1
Elliot HANSON,9,GBR,2,2
Philipp BUHL,15,GER,3,3
Juan MAEGLI,24,GUA,4,4
Hermann TOMASGAARD,6,NOR,5,5
Sam MEECH,3,NZL,6,6
Thomas SAUNDERS,12,NZL,7,7
Matt WEARN,1,AUS,8,8
Kaarle TAPPER,33,FIN,9,9
Luke ELLIOTT,28,AUS,10,10
Michael BECKETT,19,GBR,11,11
George GAUTREY,25,NZL,12,12
Nick THOMPSON,21,GBR,13,13
Tadeusz KUBIAK,38,POL,14,14
Tonci STIPANOVIC,11,CRO,15,15
Finn ALEXANDER,36,AUS,16,16
Tom BURTON,2,AUS,17,17
Sergei KOMISSAROV,22,RUS,18,18
Duko BOS,43,NED,19,19
Rutger VAN SCHAARDENBURG,112,NED,20,20
Jeemin HA,48,KOR,21,21
Jesper STALHEIM,7,SWE,22,22
Christopher BARNARD,29,USA,23,23
Lorenzo Brando CHIAVARINI,16,GBR,24,24
Maxim NIKOLAEV,55,RUS,25,25
Ryan LO,39,SGP,26,26
Jonatan VADNAI,23,HUN,27,27
Giovanni COCCOLUTO,13,ITA,28,28
Wannes VAN LAER,20,BEL,29,29
Finn LYNCH,14,IRL,30,30
Eliot MERCERON,35,SUI,31,31
Filip JURISIC,17,CRO,32,32
Benjamin VADNAI,31,HUN,34,33
Enrique ARATHOON,30,ESA,35,34
Mitchell KENNEDY,37,AUS,36,35
Charlie BUCKINGHAM,10,USA,37,36
Alessio SPADONI,104,ITA,38,37
Stefano PESCHIERA,8,PER,39,38
Gianmarco PLANCHESTAINER,41,ITA,40,39
Robert DAVIS,27,CAN,41,40
Pavlos KONTIDES,5,CYP,33,43
Robert SCHEIDT,63,BRA,42,43
