Name,SailNum,Cty,FinishPlace,Points
Tonci STIPANOVIC,11,CRO,1,1
Christian GULDBERG ROST,59,DEN,2,2
Pavlos KONTIDES,5,CYP,3,3
Filip JURIŠIC,17,CRO,4,4
Nicolo VILLA,53,ITA,5,5
Stefano PESCHIERA,8,PER,6,6
Tom BURTON,2,AUS,7,7
Tadeusz KUBIAK,38,POL,8,8
Christopher BARNARD,29,USA,9,9
Keerati BUALONG,90,THA,10,10
Wannes VAN LAER,20,BEL,11,11
Gianmarco PLANCHESTAINER,41,ITA,12,12
Hugh MACRAE,44,CAN,13,13
Finn LYNCH,14,IRL,14,14
Dan SELF,81,AUS,15,15
Jonatan VADNAI,23,HUN,16,16
Marnix BOS,87,NED,17,17
Berkay ABAY,78,TUR,18,18
Nik Aaron WILLIM,32,GER,19,19
Etienne LE PEN,62,FRA,20,20
Eliot MERCERON,35,SUI,21,21
Milivoj DUKIC,75,MNE,22,22
Khairulnizam MOHD AFENDY,50,MAS,23,23
Luke RUITENBERG,47,CAN,24,24
Juan Pablo CARDOZO,108,ARG,25,25
Upamanyu DUTTA,105,IND,26,26
Arthit Mikhail ROMANYK,99,THA,27,27
Karl-Martin RAMMO,26,EST,28,28
Anastasios PANAGIOTIDIS,93,GRE,29,29
Forrest WACHHOLZ,71,CAN,31,31
Santiago SAMPAIO,68,POR,32,32
James JUHASZ,84,CAN,33,33
Zac LITTLEWOOD,111,AUS,34,34
Jacob FARREN-PRICE,96,GBR,35,35
Liam BRUCE,65,CAN,36,36
Alexandre KOWALSKI,114,FRA,37,37
Campbell STEWART,121,AUS,38,38
Daniil KRUTSKIKH,56,RUS,30,39
Martin ARUJA,102,EST,39,39
Ken FUJIMOTO,118,JPN,40,40
Pietari AIRAKORPI,124,FIN,41,41
