Name,SailNum,Cty,FinishPlace,Points
Ewan MCMAHON,61,IRL,1,1
Karl-Martin RAMMO,26,EST,2,2
Ethan MCAULLAY,106,AUS,3,3
William DE SMET,34,BEL,4,4
Julio ALSOGARAY,89,ARG,5,5
Jakub RODZIEWICZ,49,POL,6,6
Nicolas ROLAZ,83,SUI,7,7
Nicholas BEZY,85,HKG,8,8
Alp Rona RODOPMAN,45,TUR,9,9
Francisco GUARAGNA RIGONAT,18,ARG,10,10
Francisco RENNA,79,ARG,11,11
Khairulnizam MOHD AFENDY,50,MAS,12,12
Richard MAHER,76,AUS,13,13
Yoshihiro SUZUKI,82,JPN,14,14
Daniil KRUTSKIKH,56,RUS,15,15
Fillah KARIM,46,CAN,16,16
Maxime MAZARD,42,FRA,17,17
Kenji NANRI,54,JPN,18,18
Clemente SEGUEL LACAMARA,60,CHI,19,19
Santiago SAMPAIO,68,POR,20,20
Milivoj DUKIC,75,MNE,21,21
Emil BENGTSON,64,SWE,22,22
Tomas PELLEJERO,80,ARG,23,23
Etienne LE PEN,62,FRA,24,24
Zac LITTLEWOOD,111,AUS,25,25
Sam WHALEY,66,GBR,26,26
Berkay ABAY,78,TUR,27,27
Nicolo VILLA,53,ITA,28,28
Dan SELF,81,AUS,29,29
Christian GULDBERG ROST,59,DEN,30,30
Marnix BOS,87,NED,31,31
Nik Aaron WILLIM,32,GER,32,32
Anastasios PANAGIOTIDIS,93,GRE,33,33
Hugh MACRAE,44,CAN,34,34
Marco GALLO,40,ITA,35,35
Keerati BUALONG,90,THA,36,36
Josh ARMIT,77,NZL,37,37
Liam GLYNN,73,IRL,38,38
Juan Pablo CARDOZO,108,ARG,39,39
Alexandre BOITE,70,FRA,40,40
Juan BISIO,58,ARG,-,43
