Pos,Nation,Sail Number,Crew,Race Points
Pos,Nation,Sail Number,Crew,Race Points
1,ESP,ESP 211710,Joel Rodriguez,1
2,GBR,GBR 214009,Lorenzo Brando Chiavarini,2
3,AUS,AUS 199012,Tom Burton,3
4,CAN,CAN 214917,Hugh Macrae,4
6,NOR,NOR 201111,Hermann Tomasgaard,6
6,GBR,GBR 212791,Michael Beckett,6STP
7,ITA,ITA 215111,Marco Gallo,7
8,CAN,CAN 212845,Fillah Karim,8
9,GBR,GBR 209134,Elliot Hanson,9
10,BEL,BEL 207173,William De Smet,10
11,BEL,BEL 215353,Wannes Van Laer,11
12,ESA,ESA 180192,Enrique Jose Arathoon Pacas,12
13,ISR,ISR 211955,Sagie Glantz,13
14,NZL,NZL 216175,Sam Meech,14
15,GER,GER 212767,Philipp Buhl,15
16,POL,POL 192583,Tadeusz Kubiak,16
17,ITA,ITA 188953,Giovanni Coccoluto,17
18,SUI,SUI 210211,Eliot Merceron,18
19,NZL,NZL 214437,George Gautrey,19
20,USA,USA 206051,Charlie Buckingham,20
21,TUR,TUR 207480,Alp Rona Rodopman,21
22,GBR,GBR 215379,Jack Cookson,22
23,AUS,AUS 214418,Finn Alexander,23
24,SWE,SWE 215344,Jesper Stalheim,24
25,GUA,GUA 211981,Juan Ignacio Maegli Aguero,25
26,NZL,NZL 215081,Thomas Saunders,26
27,AUS,AUS 199015,Matthew Wearn,27
28,TTO,TTO 184116,Andrew Lewis,28
29,EST,EST 203724,Karl-Martin Rammo,29
30,ITA,ITA 214150,Gianmarco Planchestainer,30
31,FRA,FRA 213932,Jean Baptiste Bernaz,31
32,IRL,IRL 210254,Finn Lynch,32
33,GBR,GBR 201481,Jack Wetherell,33
34,USA,USA 210780,Christopher Barnard,34
35,NED,NED 212968,Yuri Hummel,35
36,GRE,GRE 212529,Dimitris Papadimitriou,36
37,ARG,ARG 211570,Agustin Vidal Incatasciato,37
38,ESP,ESP 211440,Joaquin Blanco,38
39,PER,PER 206115,Stefano Peschiera,39
40,USA,USA 209071,Henry Marshall,40
41,ISR,ISR 214931,Maor Ben Hrosh,41
42,NED,NED 215438,Niels Broekhuizen,42
43,GER,GER 211432,Nik Aaron Willim,43
44,FIN,FIN 214111,Kaarle Tapper,44
45,NZL,NZL 212259,Josh Armit,45
46,CAN,CAN 211542,Robert Davis,46
47,URU,URU 212833,Ignacio Rodriguez,47
48,CHN,CHN 212277,Yulong Qiu,48
49,IRL,IRL 210978,Liam Glynn,49
50,SWE,SWE 211567,Wilhelm Kark,50
51,FRA,FRA 211863,Maxime Mazard,51
