Name,SailNum,Cty,FinishPlace,Points
Fillah KARIM,46,CAN,1,1
Philipp BUHL,15,GER,2,2
Marco GALLO,40,ITA,3,3
Alessio SPADONI,104,ITA,4,4
Pavlos KONTIDES,5,CYP,5,5
Hermann TOMASGAARD,6,NOR,6,6
Rutger VAN SCHAARDENBURG,112,NED,7,7
Jesper STALHEIM,7,SWE,8,8
Robert SCHEIDT,63,BRA,9,9
Juan Pablo CARDOZO,108,ARG,10,10
Matt WEARN,1,AUS,11,11
Tomas PELLEJERO,80,ARG,12,12
Giovanni COCCOLUTO,13,ITA,13,13
Hugh MACRAE,44,CAN,14,14
Tom BURTON,2,AUS,15,15
Stefano PESCHIERA,8,PER,16,16
Charlie BUCKINGHAM,10,USA,17,17
Khairulnizam MOHD AFENDY,50,MAS,18,18
Josh ARMIT,77,NZL,19,19
Anastasios PANAGIOTIDIS,93,GRE,20,20
Milivoj DUKIC,75,MNE,21,21
Luke RUITENBERG,47,CAN,22,22
Maxime MAZARD,42,FRA,23,23
Yuichiro KITAMURA,92,JPN,24,24
Francisco RENNA,79,ARG,25,25
Marnix BOS,87,NED,26,26
William DE SMET,34,BEL,27,27
Alexandre BOITE,70,FRA,28,28
Nicholas BEZY,85,HKG,29,29
Agustin VIDAL INCATASCIATO,51,ARG,30,30
Matti MURU,69,CAN,31,31
Guillermo FLORES MARTÍN,88,ESP,32,32
Alexandre KOWALSKI,114,FRA,33,33
Stijn PAARDEKOOPER,94,NED,34,34
Mark WONG,97,SGP,35,35
Upamanyu DUTTA,105,IND,36,36
Nik Aaron WILLIM,32,GER,37,37
Eroni LEILUA,116,SAM,38,38
Seung KIM,123,KOR,39,39
Campbell STEWART,121,AUS,40,40
Connor SHAW,120,AUS,41,41
