Pos,Nation,Sail Number,Crew,Race Points
Pos,Nation,Sail Number,Crew,Race Points
1,SWE,SWE 215344,Jesper Stalheim,1
2,CHN,CHN 211127,Zili Wang,2
3,JPN,JPN 215099,Kenji Nanri,3
4,ESA,ESA 180192,Enrique Jose Arathoon Pacas,4
5,ISR,ISR 202121,Omer Golani,5
6,TTO,TTO 184116,Andrew Lewis,6
7,HUN,HUN 213119,Jonatan Vadnai,7
8,MAS,MAS 214989,Khairulnizam Mohd Afendy,8
9,FIN,FIN 214111,Kaarle Tapper,9
10,PER,PER 206115,Stefano Peschiera,10
11,NOR,NOR 214941,Hermann Tomasgaard,11
12,ISR,ISR 214931,Maor Ben Hrosh,12
13,ESP,ESP 213123,Jesus Rogel Sanchez,13
14,RUS,RUS 213593,Kirill Evfimyevskiy,14
15,SWE,SWE 216181,Wilhelm Kark,15
16,CHN,CHN 211225,Yang Yang,16
17,GRE,GRE 212529,Dimitris Papadimitriou,17
18,GBR,GBR 212950,Joseph Mullan,18
19,FIN,FIN 211411,Aleksi Tapper,19
20,RUS,RUS 213011,Sergey Komissarov,20
21,URU,URU 216133,Ignacio Rodriguez,21
22,EST,EST 203724,Karl-Martin Rammo,22
23,HUN,HUN 213095,Benjamin Vadnai,23
24,USA,USA 199796,Malcolm Lamphere,24
25,ESP,ESP 196717,Pere Ponseti Mesquida,25
26,MON,MON 199212,Jeremy Moutout,26
27,POL,POL 215007,Tadeusz Kubiak,27
28,USA,USA 209071,Henry Marshall,28
29,JPN,JPN 208000,Kazumasa Segawa,29
30,ESP,ESP 211710,Joel Rodriguez,30
31,ITA,ITA 213174,Giacomo Musone,31
32,NED,NED 212968,Yuri Hummel,32
33,TUR,TUR 191719,Berkay Abay,33
34,MNE,MNE 215840,Milivoj Dukic,34
35,ITA,ITA 188983,Nicolo Villa,35
36,ITA,ITA 213752,Ciro Basile,36
37,MEX,MEX 213173,Yanic Gentry,37
38,MNE,MNE 213370,Ilija Markovic,38
39,HKG,HKG 171979,Hong Kong,39
40,SWE,SWE 211276,Emil Bengtson,40
41,JPN,JPN 204996,Yoshihiro SUZUKI,41
42,ITA,ITA 213176,Matteo Guardigli,42
43,ITA,ITA 215275,Andrea Ribolzi,43
44,USA,USA 211822,Paul Didham,44
45,GBR,GBR 213719,Sam Whaley,45
46,EST,EST 212230,Martin Aruja,46
47,ITA,ITA 212295,Andrea Chiappe,47
48,AUS,AUS 202706,Richard Maher,48
49,JPN,JPN 211154,Yuichiro Kitamura,49
50,CAN,CAN 212612,Justin Norton,50
51,ARG,ARG 199218,Juan Alberto Casalone,51
52,GBR,GBR 211414,Cameron Tweedle,52
53,ITA,ITA 211393,Dariush Ghasemzadeh Esfahani,53
54,GRE,GRE 210400,Marios Karadimas,54
57,ITA,ITA 215111,Marco Gallo,57DSQ
