Pos,Nation,Sail Number,Crew,Race Points
Pos,Nation,Sail Number,Crew,Race Points
1,ISR,ISR 214931,Maor Ben Hrosh,1
2,IRL,IRL 210254,Finn Lynch,2
3,FRA,FRA 213932,Jean Baptiste Bernaz,3
4,AUS,AUS 199012,Tom Burton,4
5,AUS,AUS 214418,Finn Alexander,5
6,ESP,ESP 211440,Joaquin Blanco,6
7,GUA,GUA 211981,Juan Ignacio Maegli Aguero,7
8,NZL,NZL 216175,Sam Meech,8
9,NZL,NZL 214437,George Gautrey,9
10,CAN,CAN 212845,Fillah Karim,10
11,ESA,ESA 180192,Enrique Jose Arathoon Pacas,11
12,GER,GER 212767,Philipp Buhl,12
13,ITA,ITA 214150,Gianmarco Planchestainer,13
14,CAN,CAN 211542,Robert Davis,14
15,BEL,BEL 215353,Wannes Van Laer,15
16,NZL,NZL 215081,Thomas Saunders,16
17,ITA,ITA 188953,Giovanni Coccoluto,17
18,TTO,TTO 184116,Andrew Lewis,18
19,USA,USA 209071,Henry Marshall,19
20,CHI,CHI 211888,Clemente Seguel,20
21,GBR,GBR 215379,Jack Cookson,21
22,SUI,SUI 210211,Eliot Merceron,22
23,TUR,TUR 207480,Alp Rona Rodopman,23
24,CHN,CHN 212277,Yulong Qiu,24
25,SUI,SUI 215485,Nicolas Rolaz,25
26,CAN,CAN 209616,Forrest Wachholz,26
27,BER,BER 209338,Malcolm Benn Smith,27
28,ECU,ECU 188778,Matias Dyck,28
29,SWE,SWE 215344,Jesper Stalheim,29
30,CAN,CAN 192936,Chris Dold,30
31,FIN,FIN 215016,Fredrik Westman,31
32,USA,USA 180521,Marek Zaleski,32
33,ITA,ITA 188983,Nicolo Villa,33
34,USA,USA 199796,Malcolm Lamphere,34
35,POL,POL 215006,Dawid Kania,35
36,CAN,CAN 212612,Justin Norton,36
37,GBR,GBR 213719,Sam Whaley,37
38,CAN,CAN 209376,Luke Ruitenberg,38
39,MEX,MEX 181615,Juan Ignacio Perez,39
40,COL,COL 208822,Andrey Quintero,40
41,MEX,MEX 200374,Gerardo Benitez,41
42,USA,USA 210459,Scott Rasmussen,42
43,SGP,SGP 215267,Ryan Lo,43
44,POL,POL 208552,Filip Ciszkiewicz,44
45,PUR,PUR 174311,Pedro Luis Fernandez,45
46,CAN,CAN 210644,James Juhasz,46
47,USA,USA 199338,Marshall McCann,47
52,FIN,FIN 214111,Kaarle Tapper,52BFD
52,GER,GER 211432,Nik Aaron Willim,52BFD
52,THA,THA 211027,Chusitt Punjamala,52BFD
52,USA,USA 171880,Steven Schwartz,52DNC
