Name,SailNum,Cty,FinishPlace,Points
Filip JURIŠIC,17,CRO,1,1
Luke ELLIOTT,28,AUS,2,2
George GAUTREY,25,NZL,3,3
Thomas SAUNDERS,12,NZL,4,4
Michael BECKETT,19,GBR,5,5
Sergei KOMISSAROV,22,RUS,6,6
Giovanni COCCOLUTO,13,ITA,7,7
Milivoj DUKIC,75,MNE,8,8
Robert DAVIS,27,CAN,9,9
Santiago SAMPAIO,68,POR,10,10
Nik Aaron WILLIM,32,GER,11,11
Josh ARMIT,77,NZL,12,12
Tadeusz KUBIAK,38,POL,13,13
Duko BOS,43,NED,14,14
Finn ALEXANDER,36,AUS,15,15
Francisco GUARAGNA RIGONAT,18,ARG,16,16
Kaarle TAPPER,33,FIN,17,17
Gianmarco PLANCHESTAINER,41,ITA,18,18
Anastasios PANAGIOTIDIS,93,GRE,19,19
Ethan MCAULLAY,106,AUS,20,20
Liam GLYNN,73,IRL,21,21
Gustavo CORREA NASCIMENTO,113,BRA,22,22
Etienne LE PEN,62,FRA,23,23
Clemente SEGUEL LACÁMARA,60,CHI,24,24
Yuichiro KITAMURA,92,JPN,25,25
Berkay ABAY,78,TUR,26,26
Ewan MCMAHON,61,IRL,27,27
Luke RUITENBERG,47,CAN,28,28
Emil BENGTSON,64,SWE,29,29
Yigit Yalcin CITAK,109,TUR,30,30
Thad LETTSOME,103,IVB,31,31
Alp Rona RODOPMAN,45,TUR,32,32
Leo BOUCHER,86,USA,33,33
Justin NORTON,67,CAN,34,34
Martin ARUJA,102,EST,35,35
Campbell PATTON,115,BER,36,36
Andrew ROBINSON,126,AUS,37,37
William SARGENT,110,AUS,38,38
Stephen GUNTHER,122,AUS,39,39
Nicolas ROLAZ,83,SUI,-,43
James JUHASZ,84,CAN,-,43
