Pos,Nation,Sail Number,Crew,Race Points
Pos,Nation,Sail Number,Crew,Race Points
1,ITA,ITA 214149,Giovanni Coccoluto,1
2,IRL,IRL 210254,Finn Lynch,2
3,ITA,ITA 213017,Rodolfo Silvestrini,3
4,BEL,BEL 215347,Wannes Van Laer,4
5,CRO,CRO 215838,Filip Jurisic,5
6,ESP,ESP 209164,Carlos Rosello,6
7,ISR,ISR 211955,Sagie Glantz,7
8,CYP,CYP 212431,Pavlos Kontides,8
9,BRN,BRN 212489,Abdulla Janahi,9
10,GER,GER 211432,Nik Aaron Willim,10
11,GRE,GRE 212527,Adonis Bougiouris,11
12,BEL,BEL 210470,William De Smet,12
13,CZE,CZE 215495,Viktor Teply,13
14,ESP,ESP 213498,Manuel barber Ponciano,14
15,CAN,CAN 211542,Robert Davis,15
16,ITA,ITA 209114,Giovanni Sanfilippo,16
17,ESP,ESP 215311,Joaquin Blanco,17
18,DEN,DEN 209257,Christian Guldberg Rost,18
19,ARG,ARG 213387,Francisco Guaragna Rigonat,19
20,NED,NED 212650,Duko Bos,20
21,NED,NED 171111,Niels Broekhuizen,21
22,ARG,ARG 211570,Agustin Vidal Incatasciato,22
23,TUR,TUR 207480,Alp Rona Rodopman,23
24,CAN,CAN 214514,Luke Ruitenberg,24
25,ITA,ITA 202261,Gianmarco Planchestainer,25
26,CHI,CHI 211888,Clemente Seguel,26
27,IRL,IRL 210978,Liam Glynn,27
28,POL,POL 214117,Jakub Rodziewicz,28
29,FIN,FIN 215436,Nooa Henrik Laukkanen,29
30,CZE,CZE 211236,Jakub Halouzka,30
31,SLO,SLO 214148,Zan Luka Zelko,31
32,ESP,ESP 212175,Ramiro Foguet Rojas,32
33,ECU,ECU 188778,Matias Dyck,33
34,GBR,GBR 214490,Daniel Whiteley,34
35,BUL,BUL 213486,Ivo Todorov,35
36,CRO,CRO 215835,Tonci Stipanovic,36
37,SUI,SUI 215485,Nicolas Rolaz,37
38,POR,POR 212213,Santiago Sampaio,38
39,USA,USA 180521,Marek Zaleski,39
40,ITA,ITA 210415,Luca Lorenzoni,40
41,ESP,ESP 215314,Pep Cazador Ribera,41
42,GRE,GRE 212504,ANASTASIOS PANAGIOTIDIS,42
43,ESP,ESP 213859,Mario Plomer Quiroga,43
44,RUS,RUS 212777,Daniil Krutskikh,44
45,EST,EST 212229,Georg Haud,45
46,THA,THA 211027,Chusitt Punjamala,46
47,GBR,GBR 211726,Benjamin Flowerr,47
48,SGP,SGP 199094,Mark Wong,48
49,IRL,IRL 210101,Ewan McMahon,49
50,ITA,ITA 211062,Pietro De Frenza,50
51,CZE,CZE 195103,Stepan Novotny,51
52,ITA,ITA 207626,AMOS DI BENEDETTO,52
53,MEX,MEX 181615,Juan Ignacio Perez,53
54,SGP,SGP 215267,Ryan Lo,54
57,AUS,AUS 215612,Luke Elliott,57UFD
57,CAN,CAN 214917,Hugh Macrae,57DNF
