Name,SailNum,Cty,FinishPlace,Points
Ryan LO,39,SGP,1,1
Thomas SAUNDERS,12,NZL,2,2
Michael BECKETT,19,GBR,3,3
Benjamin VADNAI,31,HUN,4,4
Lorenzo Brando CHIAVARINI,16,GBR,5,5
Tonci STIPANOVIC,11,CRO,6,6
Kaarle TAPPER,33,FIN,7,7
Juan MAEGLI,24,GUA,8,8
Ewan MCMAHON,61,IRL,9,9
Christopher BARNARD,29,USA,10,10
Ethan MCAULLAY,106,AUS,11,11
Finn ALEXANDER,36,AUS,12,12
Jonatan VADNAI,23,HUN,13,13
Sergei KOMISSAROV,22,RUS,14,14
George GAUTREY,25,NZL,15,15
Eliot MERCERON,35,SUI,16,16
Tadeusz KUBIAK,38,POL,17,17
Clemente SEGUEL LACÁMARA,60,CHI,18,18
Duko BOS,43,NED,19,19
Zac LITTLEWOOD,111,AUS,20,20
Alp Rona RODOPMAN,45,TUR,21,21
Christian GULDBERG ROST,59,DEN,22,22
Emil BENGTSON,64,SWE,23,23
Kenji NANRI,54,JPN,24,24
Wilhelm KARK,52,SWE,25,25
Etienne LE PEN,62,FRA,26,26
Juan BISIO,58,ARG,27,27
Keerati BUALONG,90,THA,28,28
Samuel KING,100,AUS,29,29
Arthit Mikhail ROMANYK,99,THA,30,30
Yoshihiro SUZUKI,82,JPN,31,31
Jacob FARREN-PRICE,96,GBR,32,32
Leo BOUCHER,86,USA,33,33
Forrest WACHHOLZ,71,CAN,34,34
Fredrik WESTMAN,91,FIN,35,35
Liam BRUCE,65,CAN,36,36
Justin NORTON,67,CAN,37,37
William SARGENT,110,AUS,38,38
James JUHASZ,84,CAN,39,39
Pietari AIRAKORPI,124,FIN,40,40
Teariki NUMA,119,PNG,41,41
Thomas MCEVOY,125,AUS,42,42
